subject,run,hemi,mode_k,model,beta_boundary,p_boundary,beta_wordrate,p_wordrate,beta_content_density,p_content_density,beta,p,metric,control_model
sub-EN057,15,L,0,boundary_plus_wordrate_content,-1801.852515591274,0.1277518125089707,949.1793676614268,0.4052468995270386,-3275.530142039443,0.0058473506303122,-1801.852515591274,0.1277518125089707,boundary,boundary_plus_wordrate_content
sub-EN057,15,L,1,boundary_plus_wordrate_content,-2.164401417690876,0.0673951844437852,0.5541341389982953,0.6266619238561659,-3.198031984885474,0.0070661147846882,-2.164401417690876,0.0673951844437852,boundary,boundary_plus_wordrate_content
sub-EN057,15,L,2,boundary_plus_wordrate_content,-35.092903407688326,0.1220767760319632,18.017337254554167,0.4102025100657112,-64.12602040903293,0.004924422626908,-35.092903407688326,0.1220767760319632,boundary,boundary_plus_wordrate_content
sub-EN057,15,L,3,boundary_plus_wordrate_content,-86.32809330817838,0.1267961761758152,45.12760016647456,0.4076679340299672,-156.2195279170603,0.0059468806716388,-86.32809330817838,0.1267961761758152,boundary,boundary_plus_wordrate_content
sub-EN057,15,L,4,boundary_plus_wordrate_content,-11.46737478743214,0.1003482361188008,5.588718445718158,0.4059553353789853,-20.42236061061877,0.0035930379812072,-11.46737478743214,0.1003482361188008,boundary,boundary_plus_wordrate_content
sub-EN057,15,L,5,boundary_plus_wordrate_content,-0.3570887939611415,0.0324262061931002,0.1205059737888474,0.4529559800722185,-0.4225920646186017,0.0114678044043071,-0.3570887939611415,0.0324262061931002,boundary,boundary_plus_wordrate_content
sub-EN057,15,L,6,boundary_plus_wordrate_content,-11.050285219179802,0.1135227573019548,5.538772690036409,0.410491969253992,-19.97537931885897,0.0044126103036258,-11.050285219179802,0.1135227573019548,boundary,boundary_plus_wordrate_content
sub-EN057,15,L,7,boundary_plus_wordrate_content,-0.65823381261334,0.035078943504973,-0.2378105578732041,0.4286950694322698,-0.4183301247082194,0.1792708477037916,-0.65823381261334,0.035078943504973,boundary,boundary_plus_wordrate_content
sub-EN057,15,L,8,boundary_plus_wordrate_content,-18.147106035383395,0.1282231277273211,9.574156858724855,0.4051118051403752,-32.65168335512467,0.0064286690815575,-18.147106035383395,0.1282231277273211,boundary,boundary_plus_wordrate_content
sub-EN057,15,L,9,boundary_plus_wordrate_content,-0.9969725766625136,0.2325237650948803,0.5248223006948459,0.5146610345539686,-1.644922415432353,0.0492929158803784,-0.9969725766625136,0.2325237650948803,boundary,boundary_plus_wordrate_content
sub-EN057,15,L,10,boundary_plus_wordrate_content,-3.8731678218276153,0.1002880430004588,1.864217495845219,0.4117100510735796,-6.5426647623674326,0.0057002066945281,-3.8731678218276153,0.1002880430004588,boundary,boundary_plus_wordrate_content
sub-EN057,15,L,11,boundary_plus_wordrate_content,-10.2673813399205,0.1258747175832164,5.450470861340477,0.3992940690898475,-18.45160402937507,0.0061711165115965,-10.2673813399205,0.1258747175832164,boundary,boundary_plus_wordrate_content
sub-EN057,15,L,12,boundary_plus_wordrate_content,-3.727936610335652,0.1217356475980538,1.88487190537006,0.4169249865074744,-6.44762624574399,0.0076790044326268,-3.727936610335652,0.1217356475980538,boundary,boundary_plus_wordrate_content
sub-EN057,15,L,13,boundary_plus_wordrate_content,-5.273470367415916,0.1293640849614207,2.6695459519078,0.4257606658836246,-9.49209240555556,0.0065665056951393,-5.273470367415916,0.1293640849614207,boundary,boundary_plus_wordrate_content
sub-EN057,15,L,14,boundary_plus_wordrate_content,-8.607823772098847,0.1252357676975402,4.547845444563423,0.4007298631126197,-15.376354903204644,0.006393351605607,-8.607823772098847,0.1252357676975402,boundary,boundary_plus_wordrate_content
sub-EN057,15,L,15,boundary_plus_wordrate_content,-3.851922759570935,0.1266176648162303,2.004722792134604,0.4095089440780097,-6.805624724396178,0.0071932565220126,-3.851922759570935,0.1266176648162303,boundary,boundary_plus_wordrate_content
sub-EN057,15,L,16,boundary_plus_wordrate_content,-0.0870951629744904,0.1966487131268456,0.0255615826720272,0.6942716070737784,-0.1592079276168541,0.0186409867929154,-0.0870951629744904,0.1966487131268456,boundary,boundary_plus_wordrate_content
sub-EN057,15,L,17,boundary_plus_wordrate_content,-3.9194764528210406,0.1272310828296283,2.083104454505179,0.4004325091827494,-7.070104280653226,0.0061636222988477,-3.9194764528210406,0.1272310828296283,boundary,boundary_plus_wordrate_content
sub-EN057,15,L,18,boundary_plus_wordrate_content,-0.3316270262015517,0.0928933040645489,0.0903903776728503,0.6344021036665279,-0.4715690865313672,0.0171290066899262,-0.3316270262015517,0.0928933040645489,boundary,boundary_plus_wordrate_content
sub-EN057,15,L,19,boundary_plus_wordrate_content,-3.368082909173433,0.1012289440794668,1.645393865121574,0.4060519951128469,-5.565505855533136,0.0069816472062028,-3.368082909173433,0.1012289440794668,boundary,boundary_plus_wordrate_content
sub-EN057,15,L,20,boundary_plus_wordrate_content,-1.7875932546040332,0.1344591657238522,0.9767563608089436,0.396259302946057,-3.421905249506099,0.0043624805804738,-1.7875932546040332,0.1344591657238522,boundary,boundary_plus_wordrate_content
sub-EN057,15,L,21,boundary_plus_wordrate_content,-0.6202292072336368,0.1628579170655757,0.3798228051696549,0.3755243292614676,-1.1441344679652123,0.0103392224634955,-0.6202292072336368,0.1628579170655757,boundary,boundary_plus_wordrate_content
sub-EN057,15,L,22,boundary_plus_wordrate_content,-0.7692394292139271,0.1093672836625713,0.3874291680658365,0.4027675937850939,-1.3493133539483615,0.0051769980748939,-0.7692394292139271,0.1093672836625713,boundary,boundary_plus_wordrate_content
sub-EN057,15,L,23,boundary_plus_wordrate_content,0.0054321015129136,0.956957969389284,0.1379712239535162,0.1563750784702573,-0.0970921387165232,0.3349647720729793,0.0054321015129136,0.956957969389284,boundary,boundary_plus_wordrate_content
sub-EN057,15,L,24,boundary_plus_wordrate_content,-0.2929959700498353,0.1605169373963261,0.1308842644463559,0.5155198783061847,-0.2568313514612557,0.2183162788560903,-0.2929959700498353,0.1605169373963261,boundary,boundary_plus_wordrate_content
sub-EN057,15,L,25,boundary_plus_wordrate_content,-0.5507992991672385,0.0524547344255476,0.1667167951511975,0.541904629706799,-0.7811820666035231,0.006106516961308,-0.5507992991672385,0.0524547344255476,boundary,boundary_plus_wordrate_content
sub-EN057,15,L,26,boundary_plus_wordrate_content,-1.4619197368047816,0.1139298554306134,0.730071207212674,0.412739741538551,-2.4334197488400786,0.0087519495455748,-1.4619197368047816,0.1139298554306134,boundary,boundary_plus_wordrate_content
