subject,run,hemi,mode_k,beta,p,metric
sub-EN057,15,L,0,1418.7432408586992,0.2125118588457227,chord
sub-EN057,15,L,1,1.063516631811693,0.3504483183042346,chord
sub-EN057,15,L,2,27.000859986517742,0.2164349279406642,chord
sub-EN057,15,L,3,67.60789070511933,0.2138013142128945,chord
sub-EN057,15,L,4,8.339673685203264,0.2148476583337381,chord
sub-EN057,15,L,5,0.1920061266177264,0.2359234082422947,chord
sub-EN057,15,L,6,8.311698703287135,0.2163191838976428,chord
sub-EN057,15,L,7,-0.2157299184914221,0.4696952594505438,chord
sub-EN057,15,L,8,14.282564374415278,0.2131471156928328,chord
sub-EN057,15,L,9,0.8011749437415231,0.3161099866500957,chord
sub-EN057,15,L,10,2.7084386475662345,0.2323364281636324,chord
sub-EN057,15,L,11,8.10037128905265,0.2092866349355449,chord
sub-EN057,15,L,12,2.8429926794752567,0.2194802457528031,chord
sub-EN057,15,L,13,4.068865760302699,0.223607846114809,chord
sub-EN057,15,L,14,6.764013787540817,0.210289916673342,chord
sub-EN057,15,L,15,3.007196457250384,0.2147594626749757,chord
sub-EN057,15,L,16,0.0445973995724751,0.5009010140962827,chord
sub-EN057,15,L,17,3.094227801680177,0.2106234461302198,chord
sub-EN057,15,L,18,0.165015058201041,0.3833846036493958,chord
sub-EN057,15,L,19,2.4494276741461816,0.2151327918604862,chord
sub-EN057,15,L,20,1.4480599187083214,0.207899158527378,chord
sub-EN057,15,L,21,0.5524523929770859,0.1957991686534573,chord
sub-EN057,15,L,22,0.567165745776,0.2199779793334146,chord
sub-EN057,15,L,23,0.1679139958683364,0.0800178789056293,chord
sub-EN057,15,L,24,0.192116774516743,0.336959593344788,chord
sub-EN057,15,L,25,0.2277765640674935,0.4049837461010412,chord
sub-EN057,15,L,26,1.09879809735809,0.2162350895875293,chord
sub-EN057,15,L,27,0.0675492142428891,0.4449265737380184,chord
sub-EN057,15,L,28,0.2370983265927049,0.3400226045464981,chord
sub-EN057,15,L,29,0.0848261421613079,0.2919155125158546,chord
sub-EN057,15,L,30,0.0231564908626618,0.8555887410753479,chord
sub-EN057,15,L,31,0.1863839604164343,0.2562897917146342,chord
sub-EN057,15,L,32,0.8175526907915648,0.1979093958139648,chord
sub-EN057,15,L,33,2.7573662122972395,0.2224644822097562,chord
sub-EN057,15,L,34,0.1204488387112077,0.1806062139431012,chord
sub-EN057,15,L,35,-0.0206192315036021,0.7667570160379392,chord
sub-EN057,15,L,36,1.4716438773456662,0.2297500350440343,chord
sub-EN057,15,L,37,0.024582650107542,0.5269190711252596,chord
