subject,run,hemi,mode_k,beta,p,source_file
sub-EN057,15,L,0,-2908.6390661111027,0.0102507769265226,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-15.csv
sub-EN057,15,L,1,-3.4106052232819186,0.002560501345933,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-15.csv
sub-EN057,15,L,2,-57.76747081645221,0.0078739787922883,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-15.csv
sub-EN057,15,L,3,-139.31088125704608,0.0100783669648479,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-15.csv
sub-EN057,15,L,4,-17.99540651245881,0.0071478846194621,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-15.csv
sub-EN057,15,L,5,-0.5721348710881323,0.0003610479083225,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-15.csv
sub-EN057,15,L,6,-17.600015429977162,0.0085266691822801,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-15.csv
sub-EN057,15,L,7,-0.4524541746650425,0.1288395668852721,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-15.csv
sub-EN057,15,L,8,-29.14610840992593,0.0107206775261167,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-15.csv
sub-EN057,15,L,9,-1.9393988268725617,0.0147985595785337,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-15.csv
sub-EN057,15,L,10,-5.652559406749023,0.0123042963783802,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-15.csv
sub-EN057,15,L,11,-16.350987291436336,0.010918298057054,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-15.csv
sub-EN057,15,L,12,-6.045628144711196,0.0087022630518459,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-15.csv
sub-EN057,15,L,13,-8.531577437651414,0.0103702405629699,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-15.csv
sub-EN057,15,L,14,-13.7980148642169,0.0102625724760719,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-15.csv
sub-EN057,15,L,15,-6.188848524289886,0.0103330335691836,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-15.csv
sub-EN057,15,L,16,-0.2037279585494888,0.0019381047541153,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-15.csv
sub-EN057,15,L,17,-6.363499483944255,0.0097054039806366,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-15.csv
sub-EN057,15,L,18,-0.4997978092703909,0.0079358457150034,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-15.csv
sub-EN057,15,L,19,-5.164349744088589,0.0086430617901294,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-15.csv
sub-EN057,15,L,20,-3.0506930939206054,0.0076741691406883,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-15.csv
