subject,run,hemi,mode_k,beta,p,source_file
sub-EN057,15,R,0,-2884.3723400516888,0.0103320794507398,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-15.csv
sub-EN057,15,R,1,-1.0859009068635357,3.358440074438823e-06,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-15.csv
sub-EN057,15,R,2,-27.265500593076297,0.0080485512524081,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-15.csv
sub-EN057,15,R,3,-210.0862900613614,0.0104995152855798,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-15.csv
sub-EN057,15,R,4,-12.527377058262411,0.0086421804946345,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-15.csv
sub-EN057,15,R,5,0.0080796618651173,0.8884321307330946,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-15.csv
sub-EN057,15,R,6,-31.47919785841826,0.0099516001514257,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-15.csv
sub-EN057,15,R,7,-0.9582249303650996,0.0068558794686896,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-15.csv
sub-EN057,15,R,8,-30.63526859031063,0.0101527703480405,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-15.csv
sub-EN057,15,R,9,-0.0604723974577183,0.6551514271790656,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-15.csv
sub-EN057,15,R,10,-4.99255802383072,0.0222901098955925,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-15.csv
sub-EN057,15,R,11,-24.40509858723192,0.0107145804758856,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-15.csv
sub-EN057,15,R,12,-7.981812056110369,0.0105848158961424,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-15.csv
sub-EN057,15,R,13,-4.6645918699646645,0.0115338657589612,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-15.csv
