mode_k,beta_mean,beta_sem,N_subj,t,p,lam,sig_q05
1,-1.9518530609385045,0.22190246822653995,49,-8.795995270074512,1.4184453112432662e-11,0.0002292282879352,1
2,-52.952566869170674,1.1144087882349647,49,-47.516286149392805,5.07601926970621e-42,0.0004418147727847,1
3,-140.42733229626222,1.0091702839106065,49,-139.15127559255546,3.1345269559683004e-64,0.000503646209836,1
4,-12.022564641498413,0.4121314219753875,49,-29.1716768012326,3.389965398017276e-32,0.0007804138585925,1
5,-0.4509237765193814,0.0682057582844369,49,-6.611227378176846,2.9031946369922007e-08,0.0009679924696683,1
6,-17.192922280828466,0.3926653699089475,49,-43.785175873327496,2.3580197995452005e-40,0.001079499721527,1
7,-0.7554422740261365,0.12511999534335722,49,-6.037742184636711,2.19566025631498e-07,0.0014691120013594,1
8,-24.44318602487489,0.5108512159202525,49,-47.847955066217644,3.6598103158961635e-42,0.001516374759376,1
9,-2.1529681264454377,0.10941982237147818,49,-19.67621661033366,1.2756656394115988e-24,0.0017501721158623,1
10,-6.253360637251399,0.11618392807314033,49,-53.82294040975075,1.4274051523611393e-44,0.0018113795667886,1
11,-16.06892518144624,0.20168315207246948,49,-79.67410770966283,1.1713161592844611e-52,0.0020164949819445,1
12,-5.312358850237021,0.1485790061306636,49,-35.75443791544289,2.968219262861312e-36,0.0022517880424857,1
13,-8.247038509429242,0.1513880163604935,49,-54.47616467733442,8.07309280726568e-45,0.0023531662300229,1
14,-15.966762163152254,0.24906854148385435,49,-64.10589658584918,3.6234974322461853e-48,0.0027416236698627,1
15,-4.512556464687398,0.13406422866760956,49,-33.65966081732024,4.827620511516412e-35,0.0029593342915177,1
16,-0.22867402484981422,0.03869664514201026,49,-5.909401810172913,3.4470207776484637e-07,0.0029743034392595,1
17,-7.284459137292384,0.19986039226303579,49,-36.447737617293,1.2192288718460907e-36,0.0030919155105948,1
18,-0.6218959238418575,0.03757670640741635,49,-16.550038129981413,1.8070763337055357e-21,0.0034280661493539,1
19,-5.384474465134028,0.19152400161178182,49,-28.113836489529554,1.8131966850447703e-31,0.0035447385162115,1
20,-3.104641570204387,0.08280780432609385,49,-37.49213731085577,3.286485791125412e-37,0.0037717577069997,1
21,-1.533118812321763,0.05866976098849429,49,-26.131328754218423,4.910938521537809e-30,0.0040091443806886,1
