mode_k,beta_mean,beta_sem,N_subj,t,p,lam,sig_q05
1,-1.7263198008403082,0.24188954380401642,49,-7.136810354394673,4.538059286881944e-09,0.0002292282879352,1
2,-22.598098126056374,0.5609606353595544,49,-40.28464156236534,1.1598627314157778e-38,0.0004418147727847,1
3,-204.4253030237793,1.4366413005763945,49,-142.29390658737285,1.0757667853194164e-64,0.000503646209836,1
4,-8.69396688741255,0.35984953709576323,49,-24.160005755680352,1.6328197945088955e-28,0.0007804138585925,1
5,-0.4169731561383109,0.07456864831500642,49,-5.591802527744062,1.0471045852051722e-06,0.0009679924696683,1
6,-31.093048303457987,0.6515093964049804,49,-47.724635247057044,4.132090610515725e-42,0.001079499721527,1
7,-1.4280231665774619,0.19227644202904817,49,-7.426927352658851,1.6342891269459007e-09,0.0014691120013594,1
8,-26.387860996649014,0.505581520789993,49,-52.19308837755154,6.095431273166623e-44,0.001516374759376,1
9,-0.3020644701569616,0.0453005550973618,49,-6.66800814046875,2.375425940092675e-08,0.0017501721158623,1
10,-6.508013217078315,0.1206780782640199,49,-53.92871108570409,1.3009899525949133e-44,0.0018113795667886,1
11,-22.979503390206563,0.2934501203283704,49,-78.30803873752895,2.6699180353870714e-52,0.0020164949819445,1
12,-6.583798073643516,0.1715852041823959,49,-38.37043004386851,1.1202044457772275e-37,0.0022517880424857,1
13,-4.353704698078698,0.10962322502491613,49,-39.715167083336134,2.2528044322717294e-38,0.0023531662300229,1
14,-14.987525295157738,0.2387189372577856,49,-62.78314350475324,9.744146751600847e-48,0.0027416236698627,1
15,-3.615257364373881,0.09725648652205175,49,-37.17240354507526,4.89152996431849e-37,0.0029593342915177,1
16,-4.567094018385183,0.11926288950107708,49,-38.2943431732294,1.2285490631580986e-37,0.0029743034392595,1
17,-14.63087332155486,0.3466293111418261,49,-42.20899055927941,1.3117326645413815e-39,0.0030919155105948,1
18,-0.6161657038349728,0.04309880581839298,49,-14.296584142756366,6.350508654072528e-19,0.0034280661493539,1
19,-1.240677310755366,0.10273546832140835,49,-12.076426291978363,3.7082586923352076e-16,0.0035447385162115,1
20,-2.505798171605987,0.07883054981341034,49,-31.78714568827872,6.70957285557313e-34,0.0037717577069997,1
21,-2.7758405152987855,0.08589623642248907,49,-32.31620651742577,3.145180535237941e-34,0.0040091443806886,1
22,-4.49376303356609,0.07598872120784646,49,-59.137237239124275,1.6606298836249083e-46,0.0041310228407382,1
23,-1.5360726418736224,0.06957070586886176,49,-22.07930223920774,8.674554663547602e-27,0.0044047320261597,1
24,-0.5532152363184999,0.03905788696754874,49,-14.163982725899613,9.132190011514968e-19,0.0045519033446908,1
25,-0.08603559746758128,0.01685798507003193,49,-5.10355164690025,5.66059407442256e-06,0.0046605272218585,1
26,-0.2297548165986688,0.02127948134864752,49,-10.797012052799472,1.9384526101079163e-14,0.0048440368846058,1
27,-2.2955969549313004,0.07620038014873169,49,-30.125793998017336,7.82260710469619e-33,0.0049720155075192,1
28,-0.867390994681974,0.056015091868394894,49,-15.4849517469305,2.6863244294278482e-20,0.0052369954064488,1
29,-0.18242165279201167,0.016550684548955384,49,-11.022000464840316,9.520574498989602e-15,0.0054828114807605,1
30,-0.14742078584133128,0.01735312339715283,49,-8.495345907902607,3.969889296497565e-11,0.0056525152176618,1
31,-0.23793094059419354,0.018946879821183888,49,-12.55779013957595,8.839270844250241e-17,0.0058893002569675,1
32,-2.34934906975453,0.07861613434739459,49,-29.88380297831815,1.130153991320671e-32,0.0060744471848011,1
33,-0.34960274623819854,0.02851007518587677,49,-12.262428070038329,2.1232464683102756e-16,0.006196467205882,1
34,-0.5829548295767999,0.03907646011169956,49,-14.91831214778491,1.1891272598117883e-19,0.0063056014478206,1
35,-0.43829164355528544,0.03416930563322613,49,-12.827057367214744,4.014964475220895e-17,0.0066964793950319,1
36,-0.5857428338280745,0.027850096352112805,49,-21.031985901321235,7.215228056463058e-26,0.0067823454737663,1
37,-7.610713218563828,0.1055573384096926,49,-72.10027586168268,1.3614150276213246e-50,0.006928913295269,1
