subject,run,hemi,mode_k,beta,p,metric
sub-EN057,15,L,0,814.2730876928979,0.4746917681784912,global
sub-EN057,15,L,1,0.4053821302206263,0.7220850627621365,global
sub-EN057,15,L,2,15.372470301646876,0.4819993950342889,global
sub-EN057,15,L,3,38.68177817104051,0.4773121835674498,global
sub-EN057,15,L,4,4.786598497712293,0.4769263025519754,global
sub-EN057,15,L,5,0.1067005945175081,0.5104803641503515,global
sub-EN057,15,L,6,4.725060294792257,0.4825438440484164,global
sub-EN057,15,L,7,-0.2535620701953929,0.3953743716741235,global
sub-EN057,15,L,8,8.243789036460292,0.4728032186778201,global
sub-EN057,15,L,9,0.4461787327337015,0.5768803208637729,global
sub-EN057,15,L,10,1.6420844573077782,0.4693439253000075,global
sub-EN057,15,L,11,4.704305285306575,0.4663203236534993,global
sub-EN057,15,L,12,1.6092227117648283,0.4874263161304093,global
sub-EN057,15,L,13,2.261099647324623,0.4992436473075672,global
sub-EN057,15,L,14,3.915744835091989,0.4687152904373886,global
sub-EN057,15,L,15,1.720366009938875,0.4782816709005109,global
sub-EN057,15,L,16,0.0211708221268356,0.7494115918714042,global
sub-EN057,15,L,17,1.801996490978837,0.466380895685455,global
sub-EN057,15,L,18,0.0757628467983279,0.6891574745148463,global
sub-EN057,15,L,19,1.4240727543519658,0.4715066914304123,global
sub-EN057,15,L,20,0.8389307518814858,0.4660434578633959,global
sub-EN057,15,L,21,0.3341515964326392,0.4343843430790727,global
sub-EN057,15,L,22,0.3357720746272616,0.4681239052750446,global
sub-EN057,15,L,23,0.1163131868106051,0.2259285190439417,global
sub-EN057,15,L,24,0.1102964922130031,0.5816639592033648,global
sub-EN057,15,L,25,0.1569339638768486,0.5662602746109,global
sub-EN057,15,L,26,0.6276726493086113,0.4803442311994892,global
sub-EN057,15,L,27,0.0194056659904378,0.8263765127680497,global
sub-EN057,15,L,28,0.0995957603830298,0.6887706853556956,global
sub-EN057,15,L,29,0.0450877979012398,0.5756137978864848,global
sub-EN057,15,L,30,-0.0216714854598168,0.8647579258150451,global
sub-EN057,15,L,31,0.1020242631124864,0.5346640869935875,global
sub-EN057,15,L,32,0.4869245506308236,0.4436083112713205,global
sub-EN057,15,L,33,1.546623571951082,0.4941706896834991,global
sub-EN057,15,L,34,0.0766949077266019,0.3943654769095135,global
sub-EN057,15,L,35,0.0047574854902685,0.9454400478873088,global
sub-EN057,15,L,36,0.833891841189197,0.4965372432274689,global
sub-EN057,15,L,37,0.0175671052983004,0.6512188343732842,global
sub-EN057,15,L,38,0.4340019696420041,0.4720544624631844,global
sub-EN057,15,L,39,0.3973613116458193,0.4991757241955661,global
sub-EN057,15,L,40,0.0250285731740397,0.616513821861598,global
sub-EN057,15,L,41,2.024334433078337,0.4729691066715951,global
sub-EN057,15,L,42,0.0013634145883942,0.9414068319608638,global
sub-EN057,15,L,43,0.0121132467279269,0.7509724592287141,global
sub-EN057,15,L,44,0.0631807517745349,0.5104593807807472,global
sub-EN057,15,L,45,0.1616008076601703,0.5712287873553483,global
sub-EN057,15,L,46,0.3973880014797784,0.4367407135106385,global
sub-EN057,15,L,47,-0.0138010100265238,0.8469889139731251,global
sub-EN057,15,L,48,2.9097859986414387,0.4731383012208358,global
sub-EN057,15,L,49,0.2436698873961081,0.4729715272650621,global
sub-EN057,15,L,50,0.0229446709881138,0.4775199340029853,global
sub-EN057,15,L,51,0.211986989364992,0.5250637239288554,global
sub-EN057,15,L,52,-0.0264368690854076,0.5059063305566218,global
sub-EN057,15,L,53,0.4406961456671117,0.4706113413128978,global
sub-EN057,15,L,54,0.1075224438765943,0.5642009474439855,global
sub-EN057,15,L,55,0.0182679781586706,0.77240693821668,global
sub-EN057,15,L,56,0.1181654454486702,0.4944824552660112,global
sub-EN057,15,L,57,0.0004147565935779,0.9952163810357046,global
sub-EN057,15,L,58,0.1916912479069056,0.4897943488397206,global
sub-EN057,15,L,59,0.2301477733288124,0.5059128364334946,global
sub-EN057,15,L,60,0.288751548292574,0.4664380947355727,global
sub-EN057,15,L,61,0.0185423410895034,0.6080274425010712,global
