hemi,mode_k,beta_mean,beta_sem,N_subj,t,p,sig_q05
L,0,562.320392283692,13.08646465994016,49,42.96961837256536,5.687741190988616e-40,1
L,1,0.17277791246579655,0.08645492277531905,49,1.9984739667724372,0.05134661877431631,0
L,2,10.51245825406787,0.2868094735665842,49,36.653106758788255,9.395855006191175e-37,1
L,3,28.89713325581345,0.5861003863965288,49,49.304067914848574,8.927773516266714e-43,1
L,4,2.279011568560728,0.125243775884257,49,18.19660539991111,3.519246568647531e-23,1
L,5,0.0032854133239144994,0.030777444827533817,49,0.1067474360631567,0.9154342591817215,0
L,6,3.535593269748878,0.11784514455963456,49,30.002027516371033,9.439069526312486e-33,1
L,7,0.08698734829257421,0.03721778818418159,49,2.3372519576417448,0.023644651671476728,1
L,8,4.955688320782836,0.16104107751224944,49,30.772821427538492,2.963068233382643e-33,1
L,9,0.3982339019161247,0.02895136382662191,49,13.75527261171486,2.835840838806277e-18,1
L,10,1.2690292009104869,0.03209689112524309,49,39.537449155393105,2.776499609516063e-38,1
L,11,3.3559543511721985,0.0806872437838336,49,41.592130227710086,2.6106150539248346e-39,1
L,12,1.0775256349381959,0.03194174336543509,49,33.73408967101688,4.360325000809217e-35,1
L,13,1.702761787860873,0.0454847743412353,49,37.435863154699526,3.5239495877993092e-37,1
L,14,3.3234391059913224,0.09446083098733749,49,35.18325078504582,6.253376091622235e-36,1
L,15,0.9059035082410006,0.03864237238406481,49,23.443268421443342,6.20368487066982e-28,1
L,16,0.021273188960445364,0.005970471231974657,49,3.5630669898411904,0.0008404871154253666,1
L,17,1.4845217928230803,0.05184562570319743,49,28.633501335707226,7.901215228537341e-32,1
L,18,0.11809790099382135,0.010098088148201357,49,11.695075271734146,1.1796194879625884e-15,1
L,19,1.0809504766642546,0.036605524921973324,49,29.529708396979952,1.945613535785265e-32,1
L,20,0.6148861341395503,0.021381887258240966,49,28.757336839037077,6.495138013378538e-32,1
L,21,0.29747372876550504,0.014233878810966558,49,20.898992658017786,9.500072885374554e-26,1
L,22,0.24558518540340182,0.011195227621089288,49,21.936595995670032,1.1520596642173564e-26,1
L,23,0.01031555284520206,0.006807995030419664,49,1.515211570970577,0.1362769177376828,0
L,24,0.01671090384054463,0.0072141709895529255,49,2.316399744994156,0.024851623724775704,1
L,25,0.18905232224093965,0.01010563180021975,49,18.707620263468208,1.0940386864237168e-23,1
L,26,0.5310856368228368,0.021426382701129693,49,24.786528096263105,5.224680571107014e-29,1
L,27,0.11256938469682662,0.010375575411316128,49,10.84945945012869,1.6414266731369282e-14,1
L,28,0.23745440882027039,0.009306693474842937,49,25.514368713457355,1.4337014986315448e-29,1
L,29,0.11810616596225132,0.0094930538726172,49,12.441324735650097,1.2471119602623363e-16,1
L,30,0.068701737578997,0.01109357637306221,49,6.192929607968521,1.2712163435565872e-07,1
L,31,0.07908348885069236,0.006179506954540936,49,12.797702054947733,4.373724994093439e-17,1
L,32,0.3793730194112205,0.015538617228057638,49,24.4148506809343,1.0240772367694883e-28,1
L,33,1.2783955785705279,0.04275153872727246,49,29.90291382787122,1.0976818178730038e-32,1
L,34,0.041300577673784984,0.006563363000939104,49,6.292593852857992,8.944840416642668e-08,1
L,35,0.013097728706544881,0.004534221783949495,49,2.8886387412519148,0.005789313868013157,1
L,36,0.8452379141628059,0.028061519733523773,49,30.12088875404136,7.880956607212674e-33,1
L,37,0.0024138497015046075,0.004143690276717028,49,0.5825362274462892,0.5629321782586485,0
L,38,0.24124859214211714,0.01067408782545946,49,22.601331007104836,3.111767822366281e-27,1
L,39,0.3043931891150024,0.011831403497038788,49,25.727563867734474,9.875950304992801e-30,1
L,40,0.03880772174171565,0.005863356931056554,49,6.61868656437442,2.827675677913771e-08,1
L,41,1.2782291186262433,0.03525215434319863,49,36.25960292190932,1.549748887013896e-36,1
L,42,0.0046951741116751,0.002278405649637415,49,2.060727909633778,0.04477012749966085,0
L,43,0.003494824117321188,0.004020731405066085,49,0.869201089363428,0.389062814075674,0
L,44,0.010804505597132152,0.0039449352367410895,49,2.7388296508658923,0.008627185875211956,1
L,45,0.2153971863538795,0.00917377051533575,49,23.479678938316695,5.792168350626015e-28,1
L,46,0.3364060335558044,0.015225890605539222,49,22.094341951558416,8.41973761782348e-27,1
L,47,0.026270886805225265,0.003761896563415384,49,6.983415509270201,7.796390343021377e-09,1
L,48,1.972895812349116,0.05591949371267734,49,35.28100276597903,5.500306890690053e-36,1
L,49,0.15981807172983253,0.007818865157332284,49,20.440059844229474,2.481826619474319e-25,1
L,50,0.0034802961890088306,0.0037000478047052037,49,0.9406084387837035,0.35161532651958005,0
L,51,0.17038910945555832,0.008896770592572462,49,19.151793078469282,4.04124086571941e-24,1
L,52,0.029653306136310394,0.0056291708557432655,49,5.267792876824136,3.219804106635936e-06,1
L,53,0.263885906216169,0.01504275513555558,49,17.542391924763773,1.62901054089023e-22,1
L,54,0.09226443435558988,0.005612653849768479,49,16.43864681934657,2.38266825558906e-21,1
