hemi,mode_k,beta_mean,beta_sem,N_subj,t,p,sig_q05
L,0,534.3417826309978,10.8619188085257,49,49.19405052186398,9.918036238704303e-43,1
L,1,0.15586114264750456,0.09202450436242972,49,1.6936917370797275,0.0968045688431437,0
L,2,9.982871587598439,0.2612927379289724,49,38.20569858436746,1.3683574256171051e-37,1
L,3,27.496169214592104,0.4600124341625,49,59.772665199043395,1.0009256546058202e-46,1
L,4,2.146499495401831,0.11776097026053015,49,18.22759689099871,3.276207001182511e-23,1
L,5,0.0025792225867068415,0.03325595590602727,49,0.0775567117660084,0.9385030740806439,0
L,6,3.3552489178850755,0.10468042293538478,49,32.05230571103197,4.583097183105797e-34,1
L,7,0.08262161632845776,0.03749830907384492,49,2.2033424538091073,0.032402507082587975,1
L,8,4.7067797570979275,0.14468160315223486,49,32.531985093816154,2.3166103795319774e-34,1
L,9,0.3676769617215215,0.027470867902235102,49,13.384249927233146,8.074918976206666e-18,1
L,10,1.204343157716296,0.029329865967271457,49,41.062006865636405,4.7532014496887827e-39,1
L,11,3.18635239428478,0.06614423589171547,49,48.172790135502474,2.6621604398684374e-42,1
L,12,1.0244941514637265,0.030498343694357066,49,33.591796385102796,5.298175143753525e-35,1
L,13,1.6199170818843207,0.0383002726031775,49,42.295184127486536,1.1923692250186015e-39,1
L,14,3.1587596220375094,0.08101824075254292,49,38.98825243176322,5.326742936644372e-38,1
L,15,0.8578505498032208,0.03521166371687527,49,24.362681544981754,1.1263169634116973e-28,1
L,16,0.018735579938616444,0.0057491847647577815,49,3.25882376462566,0.0020589863993628536,1
L,17,1.4076862329086832,0.048211846950004356,49,29.19793208437861,3.2540343315767396e-32,1
L,18,0.11357808213139045,0.009592885435569836,49,11.839824721584794,7.586125474425128e-16,1
L,19,1.033588432832175,0.03526164874227806,49,29.311971212308112,2.725152140985606e-32,1
L,20,0.5834441346534691,0.019409261960233244,49,30.060088624124976,8.642152483847447e-33,1
L,21,0.2810001281334142,0.013045967445454937,49,21.539232663907296,2.5591979802488717e-26,1
L,22,0.23467149062033998,0.010643636187838453,49,22.04805636709741,9.229368432604832e-27,1
L,23,0.008245176283167002,0.006918503461606892,49,1.1917571956019484,0.2392156371767008,0
L,24,0.014686010768562657,0.007322840712671897,49,2.0055073358552065,0.05056401387889198,0
L,25,0.17880241583688938,0.009345705127393899,49,19.132041231729875,4.222631858765889e-24,1
L,26,0.5066036558567013,0.020056611880421907,49,25.258685708089022,2.2498358001393015e-29,1
L,27,0.10686137875289257,0.009840981135114535,49,10.85881349488522,1.5935090043989364e-14,1
L,28,0.22563166925110337,0.008771097489421089,49,25.724451190200554,9.929650977786032e-30,1
L,29,0.11112142870455624,0.008841059429840625,49,12.568791057946703,8.557269789987617e-17,1
L,30,0.061211303411875494,0.011364659967071575,49,5.386109535105458,2.1395006109356007e-06,1
L,31,0.07557195003010471,0.00596503638090543,49,12.66915156997478,6.370649119353056e-17,1
L,32,0.360864921827166,0.013912607300911832,49,25.937979418388018,6.854043176409203e-30,1
L,33,1.2120795127825468,0.03914102527260875,49,30.966984240721242,2.2222208674225352e-33,1
L,34,0.03877000260557409,0.006296610158656678,49,6.157281716460163,1.4413860758517562e-07,1
L,35,0.011521613823566194,0.004474008412555317,49,2.5752329368074784,0.013154014487143375,1
L,36,0.8031101722501619,0.024362464797471752,49,32.96506239933103,1.26109478099332e-34,1
L,37,0.001331444474873622,0.004102385362240152,49,0.3245537308924514,0.7469290783987348,0
L,38,0.22968229919372637,0.009972971274860933,49,23.03047836633112,1.3593937309256482e-27,1
L,39,0.2888739883908552,0.010824820296159466,49,26.686261802733554,1.9087730813809127e-30,1
L,40,0.0362370295696334,0.005704755368219434,49,6.352074231176662,7.251187409375932e-08,1
L,41,1.2146703508560617,0.02999110859027935,49,40.501015399269306,9.033719513893855e-39,1
L,42,0.004214107653951399,0.0022413413021785053,49,1.8801722209176415,0.06616046888882075,0
L,43,0.0024104350088339005,0.0038338017151359205,49,0.6287323101029086,0.5325050390517456,0
L,44,0.010082969363672359,0.0038425778290124978,49,2.624011747411653,0.01161744914806954,1
L,45,0.20432003416672298,0.008619995074081744,49,23.70303375010785,3.8092032389253362e-28,1
L,46,0.32015520424952704,0.014079756618573571,49,22.738688808525875,2.3838237885709046e-27,1
L,47,0.024622526193814234,0.003612240479046707,49,6.816413895099331,1.406109292622072e-08,1
L,48,1.8762873169959635,0.04921033748933936,49,38.12790996205688,1.5043825364639136e-37,1
L,49,0.15030801339490893,0.0072745441964851415,49,20.662189868546488,1.5559224781517028e-25,1
L,50,0.002895739571904664,0.00365761639506887,49,0.7917012773150968,0.43242998136084676,0
L,51,0.16131390959537387,0.008082141987063186,49,19.959301612565536,6.914230611535693e-25,1
L,52,0.027827679551330538,0.005743638971007721,49,4.844956253656761,1.3641050591856127e-05,1
L,53,0.24851189922608846,0.013749682722704349,49,18.074009723564735,4.6749875456115864e-23,1
L,54,0.08733298359240742,0.00554257097871236,49,15.756764131272602,1.3330989576529428e-20,1
L,55,0.06394426910390266,0.005627144725057362,49,11.363537322785104,3.2756443612101577e-15,1
L,56,0.0469697337505058,0.00454983144909635,49,10.323400828361352,8.842578189261307e-14,1
L,57,0.013180991812027374,0.0037674676170702027,49,3.498634401608385,0.001019378032979482,1
L,58,0.08802264512886074,0.00579763236228696,49,15.182515832055786,5.915593792789109e-20,1
L,59,0.14060515084635947,0.008028746250092127,49,17.51271574247923,1.748011459846555e-22,1
L,60,0.24744717690002818,0.010916511843757052,49,22.6672384404125,2.737807591285295e-27,1
L,61,0.03383678375412911,0.0038594592178167937,49,8.767234434794673,1.5646088466609038e-11,1
L,62,0.4901348394889546,0.01758566849864909,49,27.87126571427218,2.684540603058339e-31,1
L,63,0.6384317619030082,0.014503850172769787,49,44.01808859702855,1.839015022429406e-40,1
L,64,0.09127219142364702,0.005566661124439847,49,16.396218376384716,2.6482274929076153e-21,1
L,65,0.0608151625717293,0.005066223092212073,49,12.004043537919978,4.612476172524855e-16,1
L,66,0.08410496919690635,0.006323493807293705,49,13.300395597746483,1.025368117397343e-17,1
L,67,0.08717851374083013,0.0046021528630732595,49,18.94298523639508,6.439790709785391e-24,1
L,68,0.34724062553439,0.017332162391274716,49,20.03446642694719,5.883250522822527e-25,1
L,69,0.004112080306135469,0.002377522852283595,49,1.7295649975291902,0.09013471542348898,0
L,70,0.1901404298088468,0.008290571606081773,49,22.934538032258732,1.634039356775855e-27,1
L,71,0.04634577386416475,0.004666861401519591,49,9.930822854322171,3.1776174124270323e-13,1
L,72,0.01827694833128656,0.00289010599698521,49,6.323971629536081,8.007300191205553e-08,1
L,73,0.012289478296371349,0.0030241123665868544,49,4.063829913252129,0.00017803268901576044,1
L,74,0.19197115332215034,0.011150633986958041,49,17.21616488772592,3.553364899117639e-22,1
L,75,0.02605845928268304,0.0037094225267100176,49,7.024936926178361,6.733642951180434e-09,1
L,76,0.11397844515901424,0.0056070382769835515,49,20.32774515324547,3.147567629882805e-25,1
L,77,0.12408340137725694,0.005903451058561641,49,21.018790559346062,7.414417239741767e-26,1
L,78,0.5099117846006777,0.015127870016127061,49,33.70677987430394,4.526179083065753e-35,1
L,79,0.018074786514453017,0.0030506504604872263,49,5.924895935657687,3.26451637721667e-07,1
L,80,0.006340029212723519,0.0027881673870845344,49,2.2739055201965517,0.02748291092255062,1
L,81,0.058427663450233217,0.004637931234367883,49,12.597785628487545,7.856955233658576e-17,1
L,82,0.0663856469990767,0.004820965245912469,49,13.770198209863224,2.7199101766408867e-18,1
L,83,0.09746359892837489,0.005945895883804626,49,16.391743285287802,2.6779381367488535e-21,1
L,84,0.1272379891123716,0.00495892585813541,49,25.658376985739807,1.1142557746095885e-29,1
L,85,0.003962498197774424,0.002496508633645139,49,1.5872158999862143,0.11903015913030623,0
L,86,0.10003737200854697,0.005175008815296778,49,19.330860212807192,2.718531965448267e-24,1
L,87,0.020563387872120087,0.003318315007728654,49,6.196936645323337,1.253386911730354e-07,1
L,88,0.13932555052653664,0.005219361103062835,49,26.693985676671684,1.8840605492849757e-30,1
L,89,0.03085937494840239,0.004157585030077864,49,7.422427857795238,1.6603358713662483e-09,1
L,90,0.041751858537031665,0.003340228600281985,49,12.49970092870498,1.0492583055961726e-16,1
L,91,0.025069363273346527,0.0037082925686335866,49,6.760352051344202,1.7141013875018094e-08,1
L,92,0.04600067348464482,0.005783662267091032,49,7.953554574994482,2.5884514518987846e-10,1
L,93,0.22194629524874113,0.01065552664286984,49,20.829218741361494,1.0981333141989977e-25,1
L,94,0.03639371296474381,0.003177617110027016,49,11.453146085443375,2.4820127385061335e-15,1
L,95,0.0033953163370617494,0.0017952598283300716,49,1.89126737170966,0.06463149904498024,0
L,96,0.1452937361093104,0.007511266766214298,49,19.3434397461214,2.6441453742896828e-24,1
L,97,0.05177955597546034,0.0035243920422206505,49,14.691769631517799,2.177928643667225e-19,1
L,98,0.07022315202772332,0.005468185667728729,49,12.842130149704897,3.8425099676931197e-17,1
L,99,0.0181544325805319,0.0020873711683077616,49,8.69727092918015,1.986854028030346e-11,1
L,100,0.02274737279218579,0.0026973446416138818,49,8.433246697973132,4.9153928770908807e-11,1
L,101,0.20952375175252863,0.007434858724945319,49,28.181268737432482,1.6266731068103638e-31,1
L,102,0.12562160330872124,0.006077633856962554,49,20.669491822843,1.532327774414246e-25,1
L,103,0.03876487189561291,0.003821323316633215,49,10.144358036096977,1.5809557385429232e-13,1
L,104,0.00856722388409624,0.0022521731135600187,49,3.8039810672253322,0.00040275950177602176,1
L,105,0.11957148324935303,0.005915212323906153,49,20.21423352228769,4.0062773581449145e-25,1
L,106,0.048937680901581876,0.0039047609985034494,49,12.532823627448105,9.514777288795452e-17,1
L,107,0.019955233401887405,0.0020703240487545778,49,9.638700479710726,8.331232484396362e-13,1
L,108,0.02368637166597742,0.0025159500198657925,49,9.414484182496167,1.757690925229515e-12,1
L,109,0.007585766285151205,0.0020659806138556896,49,3.671750951715889,0.0006047413256077899,1
L,110,-0.000432976027346077,0.0021100943320164446,49,-0.20519273511924807,0.8382892526734718,0
L,111,0.14613668040591873,0.00666048164562857,49,21.940857760914582,1.1423136383607354e-26,1
L,112,0.27765349071635387,0.010283727592935601,49,26.999304309371993,1.1285586557769328e-30,1
L,113,0.008189420611133078,0.002344469724907252,49,3.4930801298605183,0.0010363953733596577,1
L,114,0.002635605769448451,0.0018101617121037204,49,1.4560056992838626,0.1519011458169085,0
L,115,0.009717759965330825,0.0024119711466345562,49,4.028970238259317,0.00019889257788531,1
L,116,0.0024766496289337185,0.0018430512538412393,49,1.3437768612087972,0.18533849009523906,0
L,117,0.024067451811078548,0.003167397069946965,49,7.598495319527947,8.949910097358035e-10,1
L,118,0.0029214732571648614,0.0019492519415777784,49,1.4987663702415708,0.14048274378646852,0
L,119,0.10378996141332524,0.006536515192464649,49,15.878485455518438,9.766841188458718e-21,1
R,0,530.6515130301822,10.620681054385345,49,49.96398162348288,4.7727537914662025e-43,1
R,1,0.03359065077966213,0.10147085740599883,49,0.3310374193967961,0.7420570725732829,0
R,2,4.308075277549012,0.14731278058642544,49,29.24440948300172,3.026878552708461e-32,1
R,3,39.75772928892137,0.5911765255914342,49,67.25187413208994,3.7256421995435425e-49,1
R,4,1.482018667808321,0.08894540106196895,49,16.662116872976792,1.3700140896996352e-21,1
R,5,-0.01862484055076773,0.025859134076649217,49,-0.7202422360919637,0.4748687548713303,0
R,6,6.00117048190036,0.1871053143748869,49,32.073757508973415,4.44448735855471e-34,1
R,7,0.23867784688478946,0.04688333196649798,49,5.0908891683582675,5.911263082504314e-06,1
R,8,5.122416494027606,0.14452873672112318,49,35.44220070166125,4.4545234515851545e-36,1
R,9,0.042549384920391696,0.017551967236022363,49,2.4241946414454603,0.019158514491975098,1
R,10,1.251445310845425,0.032696227521906825,49,38.27491443797127,1.2578903027141511e-37,1
R,11,4.580040661838555,0.08586285929836578,49,53.34134804343427,2.1821899700761997e-44,1
R,12,1.2543995970830042,0.040828800068223245,49,30.723401005832994,3.189043274803689e-33,1
R,13,0.851561630630447,0.025977428903584725,49,32.78082807159321,1.6319590640862335e-34,1
R,14,2.990729004992828,0.06899043251936507,49,43.349909484236875,3.765134362373763e-40,1
R,15,0.6762842563707574,0.026587389615055516,49,25.436278858598484,1.6445453737894427e-29,1
R,16,0.865476847986818,0.03152078719542025,49,27.45733609446676,5.281351418246978e-31,1
R,17,2.832568154215344,0.08646867909206046,49,32.75831415441883,1.6843439263177817e-34,1
R,18,0.09559068544958123,0.01187785656891191,49,8.047806007337398,1.8648851021734248e-10,1
R,19,0.22286028412004996,0.02086625481038636,49,10.680416114209406,2.8091954376379095e-14,1
R,20,0.4875992505063655,0.017318937795260256,49,28.154108310257275,1.6993278837526688e-31,1
R,21,0.5270555980584214,0.022806126423769214,49,23.110263806531766,1.1670701053919675e-27,1
R,22,0.8667394684365424,0.021031648539874777,49,41.21119972089943,4.012599261024939e-39,1
R,23,0.2863039555452645,0.017177013707465105,49,16.667853936731575,1.3507815410102635e-21,1
R,24,0.07514443059259979,0.01020321455610188,49,7.364780009223739,2.0333572970418955e-09,1
R,25,0.013483733074806038,0.005783588510901825,49,2.3313783560828645,0.023979208761223808,1
R,26,0.029385409678420824,0.005051880521630317,49,5.816726969809199,4.770960178213948e-07,1
R,27,0.4332058505461506,0.016510427969550396,49,26.23831746488322,4.087433177533254e-30,1
R,28,0.17251553892479007,0.012864805297272727,49,13.40988339414375,7.507606550029667e-18,1
R,29,0.022414245870116943,0.005541602538970102,49,4.0447227516758355,0.00018918857531934294,1
R,30,0.010334560808421094,0.006234478960480462,49,1.6576462722755994,0.10391133360430896,0
R,31,0.03603397033058831,0.004827251108539879,49,7.464697717266189,1.4312029208089807e-09,1
R,32,0.44718768983520785,0.01687568239443852,49,26.498939680364046,2.620899821831803e-30,1
R,33,0.05973180542446465,0.006420400086986157,49,9.303439756898975,2.549403412962505e-12,1
R,34,0.09911583023137284,0.011109903499870623,49,8.92139434267157,9.258192380005517e-12,1
R,35,0.08116554100568459,0.007877841679061335,49,10.303017541138967,9.445394526371072e-14,1
R,36,0.1083287711073546,0.006639781749855078,49,16.315110223271873,3.2427767887627258e-21,1
R,37,1.500358703533034,0.03210504611011354,49,46.732800145719146,1.1089933123459122e-41,1
R,38,0.49251524275202974,0.015482910506983232,49,31.810249276445237,6.489655572650129e-34,1
R,39,0.7671854827300361,0.02580069224591818,49,29.735073594833846,1.41880354196792e-32,1
R,40,0.022239170085603933,0.004351954517037209,49,5.110156826901826,5.534028975396752e-06,1
R,41,1.0092731496336278,0.028279425494743635,49,35.68930881644763,3.229630955419678e-36,1
R,42,0.05827884780079249,0.005163755157676668,49,11.286136933536165,4.166154979619447e-15,1
R,43,0.09115043739467699,0.006609070308342394,49,13.791718523499599,2.5611727358908758e-18,1
R,44,0.01759147831079839,0.004059882074526158,49,4.333002286242896,7.475956163754152e-05,1
R,45,0.36412390367937403,0.010722569195339414,49,33.9586434040119,3.2111872513132453e-35,1
R,46,0.013347607663152341,0.0035371168953862607,49,3.773583983204704,0.0004424545967795077,1
R,47,0.35753629708178714,0.01497097440698657,49,23.881965686544365,2.7294171941146017e-28,1
R,48,0.4538416801116736,0.018562744107461393,49,24.449061921251694,9.622143068559721e-29,1
R,49,0.68734380907509,0.016537855568219424,49,41.5618461680092,2.7010014650653342e-39,1
R,50,0.12010084116219903,0.005942422082385956,49,20.210755731773443,4.0360657119033713e-25,1
R,51,0.07750544757864886,0.005389385791600759,49,14.381128123995026,5.043118271911603e-19,1
R,52,0.01082892424007603,0.004386845318875674,49,2.4684992182152965,0.017181215597191647,1
R,53,0.01178140223363088,0.00519415006257719,49,2.2682059801301313,0.02785407013311639,1
R,54,0.07025084119453001,0.005342446418300297,49,13.149564018815253,1.5792353452537034e-17,1
R,55,-0.0013951233436830524,0.003148878228527861,49,-0.44305407908240696,0.6597170618061874,0
R,56,0.05264334330443014,0.004292071366528422,49,12.265253489251725,2.1054101204727266e-16,1
R,57,0.012651892669817574,0.0031797437079158115,49,3.9789032802616537,0.00023304343179245184,1
R,58,0.06945555718134833,0.004880764003158236,49,14.230468249725893,7.6095117903064e-19,1
R,59,0.14923204492032646,0.007486037375052012,49,19.934718121720522,7.2899541407776e-25,1
R,60,0.3899947999589687,0.01336567411096712,49,29.178835030771914,3.3523409741701897e-32,1
R,61,0.007351447868576174,0.00335550714680512,49,2.1908604413421418,0.03334953052341337,1
R,62,0.38522310829096584,0.013070445929082254,49,29.47283592167497,2.1241495650781654e-32,1
R,63,0.4376150474786355,0.012452440778601342,49,35.14291336608054,6.594052991511868e-36,1
R,64,0.07274525493810763,0.006565316636729668,49,11.080235571752056,7.92856683375252e-15,1
R,65,0.004776552371931548,0.002110584895203636,49,2.2631415503761065,0.028187603244081674,1
R,66,0.2546693382182888,0.01163303550860965,49,21.891907579049953,1.2595034560825825e-26,1
R,67,0.32011608045413353,0.012676747328322815,49,25.252225366906178,2.2757130537436163e-29,1
R,68,0.2205407833753028,0.008604465683549594,49,25.63096785857867,1.1689070690506397e-29,1
R,69,-0.001964682225755004,0.0016800193386208861,49,-1.169440244281828,0.24800079880422388,0
R,70,0.25373294572121174,0.011100147597642723,49,22.85851998716626,1.8914005909637013e-27,1
R,71,0.004023389975301155,0.00244146111352863,49,1.647943501130015,0.10589576039019075,0
R,72,0.4329622772370581,0.011197065205467103,49,38.667478423333556,7.824808764106412e-38,1
R,73,-0.000135747282113674,0.0026040377333250236,49,-0.052129537286060006,0.958641822867945,0
R,74,0.031177883012989044,0.0036133768237665434,49,8.62846155649207,2.5142949800302328e-11,1
