subject,run,hemi,mode_k,beta,p,metric
sub-EN057,15,L,0,1321.308808339984,0.24569946598226,path
sub-EN057,15,L,1,0.9367531392129942,0.4109144308408444,path
sub-EN057,15,L,2,25.08608206999417,0.2508878389999646,path
sub-EN057,15,L,3,62.93981312969465,0.2472181042157502,path
sub-EN057,15,L,4,7.752689388938691,0.2489795792352102,path
sub-EN057,15,L,5,0.1795126731781985,0.2678861229613137,path
sub-EN057,15,L,6,7.71849787186198,0.2510006261697301,path
sub-EN057,15,L,7,-0.2471177869332247,0.4075094889668414,path
sub-EN057,15,L,8,13.32333417234894,0.2455852740167975,path
sub-EN057,15,L,9,0.7419196197772164,0.3532923056552951,path
sub-EN057,15,L,10,2.5488508036671256,0.2610871879057998,path
sub-EN057,15,L,11,7.563570726288525,0.2411496845334553,path
sub-EN057,15,L,12,2.6372990872525635,0.2547619406310947,path
sub-EN057,15,L,13,3.768125658762241,0.2598144747027074,path
sub-EN057,15,L,14,6.304301416763064,0.2430438787397502,path
sub-EN057,15,L,15,2.798559032004259,0.2483760396095608,path
sub-EN057,15,L,16,0.0418075679648814,0.5280814031824761,path
sub-EN057,15,L,17,2.892297994044146,0.242020164567042,path
sub-EN057,15,L,18,0.1525663350196174,0.4203355202981805,path
sub-EN057,15,L,19,2.281847710819937,0.2482703489121031,path
sub-EN057,15,L,20,1.352736216286724,0.2394944674930235,path
sub-EN057,15,L,21,0.5209478318004153,0.2226004197136862,path
sub-EN057,15,L,22,0.5296884646304906,0.2520677160809367,path
sub-EN057,15,L,23,0.1519298597429323,0.1133845767184313,path
sub-EN057,15,L,24,0.1718897663340309,0.3903642609626681,path
sub-EN057,15,L,25,0.2197424364374495,0.4217744328330159,path
sub-EN057,15,L,26,1.0211461905838644,0.2505562579675157,path
sub-EN057,15,L,27,0.0601204375500846,0.4966202594439786,path
sub-EN057,15,L,28,0.2099226566863226,0.3983259595525499,path
sub-EN057,15,L,29,0.0757895295324116,0.3464658682504012,path
sub-EN057,15,L,30,0.0152747975240332,0.9044465003285904,path
sub-EN057,15,L,31,0.1691116643096536,0.3031052953411956,path
sub-EN057,15,L,32,0.7651642203917842,0.2282777280869636,path
sub-EN057,15,L,33,2.5577678003240085,0.257852779506642,path
sub-EN057,15,L,34,0.113204361292962,0.2083448253627179,path
sub-EN057,15,L,35,-0.0174256124323121,0.8020677879822679,path
sub-EN057,15,L,36,1.3633807041589483,0.2659451681857016,path
sub-EN057,15,L,37,0.0239667194148581,0.53733217138833,path
sub-EN057,15,L,38,0.6948663165276974,0.249232760111685,path
sub-EN057,15,L,39,0.6581482338181632,0.2626745999126396,path
sub-EN057,15,L,40,0.0427497154481577,0.392139820895261,path
sub-EN057,15,L,41,3.282456274879725,0.2442042086386266,path
sub-EN057,15,L,42,0.0071298500178188,0.7006679351628042,path
sub-EN057,15,L,43,0.0201978506171455,0.5966311792622643,path
sub-EN057,15,L,44,0.0970383306548606,0.3118605087212529,path
sub-EN057,15,L,45,0.2797914246673824,0.3266259377007565,path
sub-EN057,15,L,46,0.6256160838827785,0.2204505295687737,path
sub-EN057,15,L,47,0.007440097385874,0.9171511885869112,path
sub-EN057,15,L,48,4.7049027658337845,0.2457214270374813,path
sub-EN057,15,L,49,0.3953348934652603,0.2439383737686994,path
sub-EN057,15,L,50,0.0180292989587187,0.5768190546944432,path
sub-EN057,15,L,51,0.3592196624950204,0.2811686310245349,path
sub-EN057,15,L,52,-0.0218919016290337,0.5817750705156506,path
sub-EN057,15,L,53,0.706819121427478,0.2468621436400944,path
sub-EN057,15,L,54,0.1912950376113631,0.3046490525037573,path
sub-EN057,15,L,55,0.0430232617418241,0.4956216101348483,path
sub-EN057,15,L,56,0.1933744189007651,0.2632227339264367,path
sub-EN057,15,L,57,0.0256681924201137,0.7105739404646123,path
sub-EN057,15,L,58,0.3151659924121656,0.2558255589777422,path
sub-EN057,15,L,59,0.3838663418211164,0.2668723200474135,path
sub-EN057,15,L,60,0.4651735151005827,0.2403412174345106,path
sub-EN057,15,L,61,0.0353641798770334,0.3276827776080048,path
sub-EN057,15,L,62,1.126841926371691,0.240071609559128,path
sub-EN057,15,L,63,1.0578104006354994,0.2609870939401003,path
sub-EN057,15,L,64,0.2762654913791235,0.2398142749826349,path
sub-EN057,15,L,65,0.2271549119909665,0.2377725579378421,path
sub-EN057,15,L,66,0.1934708784860791,0.3181361167706767,path
sub-EN057,15,L,67,0.2622249113539396,0.2509662595334959,path
sub-EN057,15,L,68,0.8306205393658448,0.2511771070094333,path
sub-EN057,15,L,69,-0.0240937585009846,0.3286815981729014,path
sub-EN057,15,L,70,0.6022192563114556,0.2547624793547443,path
sub-EN057,15,L,71,0.1360072890031685,0.2449367168232545,path
sub-EN057,15,L,72,-0.0372756064864453,0.3550218790053477,path
sub-EN057,15,L,73,0.0235860378126624,0.5410251360165569,path
sub-EN057,15,L,74,0.5417236181128748,0.2532303707249813,path
sub-EN057,15,L,75,0.068906952204241,0.1154853110921057,path
sub-EN057,15,L,76,0.241659594742193,0.2454235307338343,path
sub-EN057,15,L,77,0.1986401097167625,0.2551429181041449,path
sub-EN057,15,L,78,1.3040746212641137,0.2421916298054054,path
sub-EN057,15,L,79,0.0849519235692117,0.1575886549087189,path
sub-EN057,15,L,80,0.0754712907874328,0.1989186636024742,path
sub-EN057,15,L,81,0.0968486067044829,0.2331570235958829,path
sub-EN057,15,L,82,0.3079098840917597,0.2601580731651746,path
sub-EN057,15,L,83,0.205416759916721,0.2358136685155315,path
sub-EN057,15,L,84,0.2677491371923885,0.2897175259033643,path
sub-EN057,15,L,85,-0.0189459884297184,0.5930106829101351,path
sub-EN057,15,L,86,0.195920637062427,0.3042007790544448,path
sub-EN057,15,L,87,0.0429571446745003,0.0178641768003557,path
sub-EN057,15,L,88,0.2713987897309176,0.2677287532261528,path
sub-EN057,15,L,89,0.0207091970157301,0.542459465158601,path
sub-EN057,15,L,90,0.1213265947766732,0.316496640936603,path
sub-EN057,15,L,91,0.0551914754953115,0.2912321521026212,path
sub-EN057,15,L,92,0.0717600437027849,0.3041094874028183,path
sub-EN057,15,L,93,0.4720750232041676,0.2227830362007592,path
sub-EN057,15,L,94,0.0364244827476785,0.3945125719531885,path
sub-EN057,15,L,95,0.0201242172941297,0.1190411731098782,path
sub-EN057,15,L,96,0.2857222373434313,0.2980233028959774,path
sub-EN057,15,L,97,0.289330304760115,0.2905841470324831,path
sub-EN057,15,L,98,0.2038840841626105,0.195124101441202,path
sub-EN057,15,L,99,0.0685795642888766,0.3069106369133196,path
sub-EN057,15,L,100,0.073810670280929,0.2175371829489173,path
sub-EN057,15,L,101,0.6382056712797467,0.2595432997507747,path
sub-EN057,15,L,102,0.176765697425993,0.2990491683670388,path
sub-EN057,15,L,103,0.0999820604399782,0.2498836046331401,path
sub-EN057,15,L,104,0.0300241019987789,0.212624215694402,path
sub-EN057,15,L,105,0.3106221948866412,0.272855489883469,path
sub-EN057,15,L,106,0.1183410916314192,0.2980608899738646,path
sub-EN057,15,L,107,0.0154166129395108,0.5851360616957106,path
sub-EN057,15,L,108,0.0946982557081538,0.3419297270297695,path
sub-EN057,15,L,109,0.0135878684550977,0.5482258368105241,path
sub-EN057,15,L,110,0.0166441822216108,0.0963455415227098,path
sub-EN057,15,L,111,0.5326845015119239,0.2343894462415637,path
sub-EN057,15,L,112,0.7610962875288508,0.239988596404731,path
sub-EN057,15,L,113,0.0448433674015074,0.2409870795781069,path
sub-EN057,15,L,114,0.0038284206946392,0.7002200297792769,path
sub-EN057,15,L,115,0.04672949798715,0.2959078780012358,path
sub-EN057,15,L,116,-0.0029753911153235,0.8206772379221325,path
sub-EN057,15,L,117,0.0949667368141752,0.2344495663143687,path
sub-EN057,15,L,118,0.0159071282220149,0.2337341809038084,path
sub-EN057,15,L,119,0.314250445377888,0.2167717678005631,path
sub-EN057,15,R,0,1312.845776603822,0.2452751327812022,path
sub-EN057,15,R,1,-0.3823983427054199,0.1074812893708072,path
sub-EN057,15,R,2,11.822201356186472,0.252924260544848,path
sub-EN057,15,R,3,95.4015197945813,0.2473908222768921,path
sub-EN057,15,R,4,5.642245225253374,0.2392097970307088,path
sub-EN057,15,R,5,-0.0575211363324328,0.3174986435728942,path
sub-EN057,15,R,6,14.219032427962164,0.2465248424220717,path
sub-EN057,15,R,7,0.2168477201409568,0.5430946952583895,path
sub-EN057,15,R,8,14.032236066991926,0.2411877148911974,path
sub-EN057,15,R,9,0.0980811840979524,0.4687073067295985,path
sub-EN057,15,R,10,2.38194436996333,0.2772656972939669,path
sub-EN057,15,R,11,11.33562723196524,0.2380162530294108,path
sub-EN057,15,R,12,3.5636770281867256,0.2559621687462569,path
sub-EN057,15,R,13,2.041374615740638,0.2711227985063909,path
sub-EN057,15,R,14,5.3182343905765626,0.2569756579358943,path
sub-EN057,15,R,15,1.730573998495096,0.2679279257439815,path
sub-EN057,15,R,16,1.5393499651522975,0.2351402135068953,path
sub-EN057,15,R,17,6.823423807372174,0.2501192504851236,path
sub-EN057,15,R,18,0.2072363929657691,0.2455899994575838,path
sub-EN057,15,R,19,0.2149977579382081,0.5566785896922305,path
sub-EN057,15,R,20,1.0995662008757268,0.2564576977208773,path
sub-EN057,15,R,21,0.9398294611272692,0.2890068778201144,path
sub-EN057,15,R,22,2.2523125776458848,0.2378736558650718,path
sub-EN057,15,R,23,1.190379681072666,0.2107570804766727,path
sub-EN057,15,R,24,0.529286592977793,0.2554746854135232,path
sub-EN057,15,R,25,-0.0050737271448032,0.9498998903823628,path
sub-EN057,15,R,26,0.056368995985632,0.4608379155329873,path
sub-EN057,15,R,27,0.8255198615286411,0.2742055397817302,path
sub-EN057,15,R,28,0.0662631590960399,0.6651108355026274,path
sub-EN057,15,R,29,-0.0261146032968623,0.486870173682055,path
sub-EN057,15,R,30,-0.1774469828539439,0.0663627927764694,path
sub-EN057,15,R,31,0.0253685316272298,0.5260357527821784,path
sub-EN057,15,R,32,0.8523384985247875,0.2691851147157155,path
sub-EN057,15,R,33,0.0445967029336752,0.3131685403564261,path
sub-EN057,15,R,34,0.3799280217866478,0.1427154423990096,path
sub-EN057,15,R,35,0.0980394840938533,0.103998388473269,path
sub-EN057,15,R,36,0.1663340731622722,0.294916545098446,path
sub-EN057,15,R,37,3.8783960719686648,0.2448455102293826,path
sub-EN057,15,R,38,1.101655659778625,0.2506021847202704,path
sub-EN057,15,R,39,2.2661725197539866,0.2479435257243466,path
sub-EN057,15,R,40,0.0429700868338883,0.4965567536708398,path
sub-EN057,15,R,41,2.7008594880557664,0.2550922319152235,path
sub-EN057,15,R,42,0.2471104718243665,0.3206538971286551,path
sub-EN057,15,R,43,0.215003701922422,0.2019671306393826,path
sub-EN057,15,R,44,0.0799012092155283,0.3867791417986806,path
sub-EN057,15,R,45,0.8044078320636757,0.2460216156111111,path
sub-EN057,15,R,46,0.0583685528626087,0.0199883517262977,path
sub-EN057,15,R,47,1.0231599604282706,0.2659629297229914,path
sub-EN057,15,R,48,1.092393185553286,0.2674138007713982,path
sub-EN057,15,R,49,1.7842544872895814,0.2490498697510502,path
sub-EN057,15,R,50,0.3469671943785207,0.2413968989845444,path
sub-EN057,15,R,51,0.1724862329662998,0.2775962541524371,path
sub-EN057,15,R,52,-0.0060404855120612,0.8923533748479044,path
sub-EN057,15,R,53,0.0491984659896145,0.2293529341985754,path
sub-EN057,15,R,54,0.3024387575775059,0.1242080245399408,path
sub-EN057,15,R,55,-0.0181453605964219,0.3977341198296832,path
sub-EN057,15,R,56,-0.0101929202657911,0.8728265331752465,path
sub-EN057,15,R,57,-0.0194169432533103,0.4485125765159243,path
sub-EN057,15,R,58,0.1976751113129959,0.3673379367069582,path
sub-EN057,15,R,59,0.318660706162285,0.2205192615007004,path
sub-EN057,15,R,60,0.5880961892409972,0.2538175775932748,path
sub-EN057,15,R,61,-0.0035514698542716,0.8149072013319131,path
sub-EN057,15,R,62,0.8473728487807715,0.2420751910319945,path
sub-EN057,15,R,63,0.7484124178550864,0.2495680236896837,path
sub-EN057,15,R,64,0.4079297928845655,0.1628032491430159,path
sub-EN057,15,R,65,-0.024060295291238,0.3824400131483776,path
sub-EN057,15,R,66,0.4559830027638414,0.2568740406723315,path
sub-EN057,15,R,67,0.7140329856714742,0.2310445401925109,path
sub-EN057,15,R,68,0.5546219063898639,0.2399640975819737,path
sub-EN057,15,R,69,-0.0077585702264799,0.6773172013897568,path
sub-EN057,15,R,70,0.8661049618232695,0.2507428305278624,path
sub-EN057,15,R,71,-0.0054954279278384,0.7386077019404815,path
sub-EN057,15,R,72,1.0495427406586384,0.253745177689056,path
sub-EN057,15,R,73,-0.043394722415207,0.2794957372545082,path
sub-EN057,15,R,74,0.0627993681764559,0.3254691128316281,path
sub-EN057,15,R,75,0.8493023432005141,0.2532962363223656,path
sub-EN057,15,R,76,0.1183461816836297,0.2411366161362169,path
sub-EN057,15,R,77,0.1765994457624021,0.2986668541936653,path
sub-EN057,15,R,78,0.2550773295159761,0.2395126109754002,path
sub-EN057,15,R,79,1.1523807681198015,0.2382002694581092,path
sub-EN057,15,R,80,0.0816000283426289,0.2163407548551608,path
sub-EN057,15,R,81,0.1228946839477716,0.1984021796890512,path
sub-EN057,15,R,82,0.1577206927485595,0.2916173175832504,path
sub-EN057,15,R,83,0.1769567777111443,0.2328734179765147,path
sub-EN057,15,R,84,0.6731733639055081,0.2663841946428273,path
sub-EN057,15,R,85,0.0513166096461663,0.6844926870461068,path
sub-EN057,15,R,86,0.0237584791447159,0.1982394769322612,path
sub-EN057,15,R,87,0.0096574374320431,0.7364538064214358,path
sub-EN057,15,R,88,0.8455104318903545,0.2552206800354423,path
sub-EN057,15,R,89,0.0514655505497346,0.1932710536003593,path
sub-EN057,15,R,90,0.1147979496871278,0.184192617674852,path
sub-EN057,15,R,91,0.0826556681864442,0.2855173327962494,path
sub-EN057,15,R,92,-0.0021229378267267,0.9486023821242696,path
sub-EN057,15,R,93,0.4425239035663156,0.2506771027394234,path
sub-EN057,15,R,94,0.2771870550092277,0.2107272689457069,path
sub-EN057,15,R,95,0.0421622133239709,0.1818661416174221,path
sub-EN057,15,R,96,-0.0095273565573591,0.6679716516590486,path
sub-EN057,15,R,97,-0.0086862374504619,0.5455790159149085,path
sub-EN057,15,R,98,0.0552385440011585,0.1926278674662662,path
sub-EN057,15,R,99,0.2122457241518401,0.2211310427222998,path
sub-EN057,15,R,100,0.0482420245533475,0.3290538132251879,path
sub-EN057,15,R,101,0.235212504525902,0.2882522548063804,path
sub-EN057,15,R,102,-0.0201440751729463,0.6792743531010725,path
sub-EN057,15,R,103,0.1524185638240476,0.1963079685818023,path
sub-EN057,15,R,104,-0.0027373072952666,0.8254289709813039,path
sub-EN057,15,R,105,0.0209061522008246,0.2205436201579085,path
sub-EN057,15,R,106,-0.0105884409147696,0.3962878451036536,path
sub-EN057,15,R,107,-0.0150194775177771,0.3003964762446589,path
sub-EN057,15,R,108,0.0094645379118429,0.8335239505308029,path
sub-EN057,15,R,109,-0.0057621994134976,0.7468471669628418,path
sub-EN057,15,R,110,0.3468438479251634,0.3020490710039441,path
sub-EN057,15,R,111,1.7150564140097628,0.2458379459022583,path
sub-EN057,15,R,112,0.1867896977060271,0.2893314202376121,path
sub-EN057,15,R,113,-0.0200241536376248,0.4089832676561948,path
sub-EN057,15,R,114,-0.0025426759167114,0.8473426774112712,path
sub-EN057,15,R,115,0.0192733225254409,0.4452067960447864,path
sub-EN057,15,R,116,0.0079308831858027,0.4108806468704857,path
sub-EN057,15,R,117,0.0364695568879023,0.2220824957509634,path
sub-EN057,15,R,118,0.038233818524817,0.3630065629399708,path
sub-EN057,15,R,119,0.0601852356093766,0.2938552240047806,path
sub-EN057,16,L,0,-302.3062047288894,0.7735762278705924,path
sub-EN057,16,L,1,-0.3089769960093251,0.1316756879024793,path
sub-EN057,16,L,2,-6.148409009057203,0.7787527158988836,path
sub-EN057,16,L,3,-17.945833452371513,0.7784859602781239,path
sub-EN057,16,L,4,-2.099945713887397,0.5111205629897151,path
