hemi,mode_k,beta_mean,beta_sem,N_subj,t,p,sig_q05
L,0,510.14113697183,10.793560676507331,49,47.263470532219735,6.523081828923803e-42,1
L,1,0.15004172037319152,0.09306495719299597,49,1.6122257496131274,0.11346942784411597,0
L,2,9.522649928608292,0.2517844583558278,49,37.82064226994764,2.191339930187404e-37,1
L,3,26.232208154839146,0.4469717566025932,49,58.68873763798558,2.3815068405981073e-46,1
L,4,2.0452564133870084,0.11812020240681531,49,17.315043250120617,2.802101732038442e-22,1
L,5,0.0009107094429071186,0.0326795492973642,49,0.02786787034974723,0.9778830785920519,0
L,6,3.2110523625043395,0.10083184161451524,49,31.84561851781246,6.167130833032882e-34,1
L,7,0.07367621514452326,0.03570125974074854,49,2.0636867068427573,0.044476673232707674,0
L,8,4.499701887406867,0.14248646554029704,49,31.57985476265669,9.05696109511048e-34,1
L,9,0.3487893772435121,0.026765114964452403,49,13.03149183953629,2.2189295854208833e-17,1
L,10,1.1479013355517715,0.027740712295851615,49,41.37966333775179,3.3163936385296075e-39,1
L,11,3.0437203405728104,0.06329997033682074,49,48.08407214690778,2.9033314169905844e-42,1
L,12,0.9787275287172836,0.029740288832661,49,32.90914672094368,1.3635392227822373e-34,1
L,13,1.542775767751457,0.037830979443867686,49,40.780751395574505,6.551653244992699e-39,1
L,14,3.016754448132246,0.07916098459812806,49,38.1091072003112,1.5392842431208952e-37,1
L,15,0.8198656753031368,0.03508796926510308,49,23.366005285422386,7.178487377783063e-28,1
L,16,0.01767622907428627,0.005734455306613567,49,3.0824599947444375,0.0033971511081458097,1
L,17,1.3422100817051257,0.047938481797797965,49,27.99859385131341,2.183979830762461e-31,1
L,18,0.10927945075041709,0.009255470073583691,49,11.807012489005261,8.382567331776901e-16,1
L,19,0.987539137928143,0.03335711285878765,49,29.60505431356551,1.7323852954783222e-32,1
L,20,0.5574919559274171,0.019167439429676546,49,29.085364165244943,3.8790418094371134e-32,1
L,21,0.2695270770290831,0.012752368053506888,49,21.13545310942962,5.830691932099108e-26,1
L,22,0.22533301231301972,0.010662190831951565,49,21.133837863580585,5.850079628708294e-26,1
L,23,0.007912128130128884,0.007189653326996968,49,1.1004881279072305,0.27660793114442295,0
L,24,0.01472494037469117,0.007445329748110748,49,1.9777418694487805,0.05371460916717388,0
L,25,0.17088350359356186,0.009278708754846819,49,18.416733201621323,2.121114054712627e-23,1
L,26,0.4822847396964713,0.0193036845168223,49,24.984076966041467,3.6664125507699264e-29,1
L,27,0.10207052113749501,0.009479373771243384,49,10.767643897230428,2.127987868413713e-14,1
L,28,0.21537231614562663,0.008391881982330717,49,25.66436427479528,1.1026684455666763e-29,1
L,29,0.10604373723962737,0.008694710481872503,49,12.196350581277743,2.5870805541766904e-16,1
L,30,0.05645745094676278,0.011397069652212011,49,4.953681311915576,9.437587085574868e-06,1
L,31,0.07194541534749532,0.0058414223652205124,49,12.31642070189174,1.8074473671285244e-16,1
L,32,0.3434747173662826,0.013167491837891026,49,26.085052612517533,5.317794088243353e-30,1
L,33,1.1591967924467088,0.03788745735936106,49,30.595792730342723,3.857386274793073e-33,1
L,34,0.03765680455579413,0.0062908901188797614,49,5.985926290904568,2.63450357091802e-07,1
L,35,0.010511590959388122,0.004519737551729493,49,2.325708260508583,0.024306184102071332,1
L,36,0.7652940526474877,0.023255111112611523,49,32.90863883391465,1.3645076496592825e-34,1
L,37,0.001595118040130389,0.003963685260735286,49,0.4024330730625382,0.689151962140302,0
L,38,0.2202373455634033,0.009836601676001514,49,22.389576483585717,4.7051721506728896e-27,1
L,39,0.2757793110197663,0.010494175355223945,49,26.27927413872352,3.810747676526154e-30,1
L,40,0.035173845618448725,0.005549873085152832,49,6.337774770480199,7.626567220243719e-08,1
