subject,run,hemi,mode_k,beta,p
sub-EN057,15,L,0,-1138.7729659664262,0.3292537557609966
sub-EN057,15,L,1,-1.504161442263399,0.1968819379932451
sub-EN057,15,L,2,-22.09211435554049,0.3241065490845833
sub-EN057,15,L,3,-54.69902721734681,0.3267695248959658
sub-EN057,15,L,4,-7.321834955593218,0.288282931079954
sub-EN057,15,L,5,-0.271474354200707,0.0983274417719536
sub-EN057,15,L,6,-6.997974036798719,0.3101062644752751
sub-EN057,15,L,7,-0.5611681654282912,0.0658116030044824
sub-EN057,15,L,8,-11.541162143011784,0.3266753040469281
sub-EN057,15,L,9,-0.6656446602597454,0.4160312374064506
sub-EN057,15,L,10,-2.547614798622434,0.2731883672796612
sub-EN057,15,L,11,-6.535716542387872,0.3233216990652914
sub-EN057,15,L,12,-2.4232846311430043,0.3074690353279669
sub-EN057,15,L,13,-3.349150164901122,0.3287128856976264
sub-EN057,15,L,14,-5.498298782757669,0.3207727874566098
sub-EN057,15,L,15,-2.475355191249878,0.3194176072712497
sub-EN057,15,L,16,-0.0541565443009654,0.4137859795727608
sub-EN057,15,L,17,-2.4894292000948703,0.3261243330647885
sub-EN057,15,L,18,-0.2345699921809254,0.2263564907527231
sub-EN057,15,L,19,-2.2425589767019223,0.268385522206997
sub-EN057,15,L,20,-1.0943706292054984,0.3534975743545491
sub-EN057,15,L,21,-0.3902820111124875,0.3727215191751748
sub-EN057,15,L,22,-0.495968941195653,0.2955819467557389
sub-EN057,15,L,23,0.0212991796577558,0.8287552648463231
sub-EN057,15,L,24,-0.2429515274898205,0.2332079042934948
sub-EN057,15,L,25,-0.3906041339903341,0.1628609349803503
sub-EN057,15,L,26,-0.9701714742099103,0.287005258407723
sub-EN057,15,L,27,-0.0900197405522324,0.3203494419924518
sub-EN057,15,L,28,-0.2409521521057296,0.3441219320098387
sub-EN057,15,L,29,-0.077733833192199,0.3241476324400327
sub-EN057,15,L,30,-0.183068752252391,0.1593434427473559
sub-EN057,15,L,31,-0.2069684822325121,0.2185326008054764
sub-EN057,15,L,32,-0.649022766822172,0.3190227871621962
sub-EN057,15,L,33,-2.1819553181812563,0.3465789176013828
sub-EN057,15,L,34,-0.1154407110938331,0.2104654563661974
sub-EN057,15,L,35,-0.0391723387625176,0.5812554309237866
sub-EN057,15,L,36,-1.2431434334523743,0.3225432443346809
sub-EN057,15,L,37,-0.0853072314526509,0.0308574658258094
sub-EN057,15,L,38,-0.6704738039133642,0.2781843661332563
sub-EN057,15,L,39,-0.6233492793008399,0.3008172336468508
sub-EN057,15,L,40,-0.048914813261782,0.3388677164263872
sub-EN057,15,L,41,-2.8648785290952685,0.3216127721266195
sub-EN057,15,L,42,0.0110493574970762,0.5596386714636299
sub-EN057,15,L,43,0.0098632482603212,0.8001327525727603
sub-EN057,15,L,44,-0.1310358109409471,0.1802478308682445
sub-EN057,15,L,45,-0.2531441362766002,0.386687425513431
sub-EN057,15,L,46,-0.4987136515208522,0.3406907348868205
sub-EN057,15,L,47,-0.057406165035482,0.41033171534982
sub-EN057,15,L,48,-4.063833317158335,0.3282170529280043
sub-EN057,15,L,49,-0.3038062791264134,0.3826108377115444
sub-EN057,15,L,50,-0.0267631228269482,0.4009416236064332
sub-EN057,15,L,51,-0.4231636578262564,0.2153850985764655
sub-EN057,15,L,52,-0.0276196484228617,0.4966362722020649
sub-EN057,15,L,53,-0.651182243087204,0.298112408066789
sub-EN057,15,L,54,-0.1980636926919321,0.2998115542353328
sub-EN057,15,L,55,-0.0659811788961365,0.3065217346169159
sub-EN057,15,L,56,-0.1762886987376142,0.3198382814401531
sub-EN057,15,L,57,-0.0807349323604331,0.254059815241707
sub-EN057,15,L,58,-0.2976067002806694,0.2953021283990168
sub-EN057,15,L,59,-0.3835808487985909,0.2791410628573624
sub-EN057,15,L,60,-0.381634582747962,0.3475923367990872
sub-EN057,15,L,61,-0.0606232532350156,0.1001885566819014
sub-EN057,15,L,62,-0.920072648270402,0.3496266135465565
sub-EN057,15,L,63,-0.8852377248769138,0.3589912444972974
sub-EN057,15,L,64,-0.2154678604285709,0.3713532572953018
sub-EN057,15,L,65,-0.2010850520595452,0.3080590304788986
sub-EN057,15,L,66,-0.1940419942305413,0.328713377063659
sub-EN057,15,L,67,-0.2812984652080722,0.2293666034835753
sub-EN057,15,L,68,-0.7244050654669144,0.3290954031461188
sub-EN057,15,L,69,-0.0340107744145674,0.1733435640375546
