metric,hemi,mode_k,beta_mean,beta_sem,N_subj,t,p,lam,sig_q05
boundary,L,0,-1221.412493760959,18.13735008181459,49,-67.34238950295214,3.4950310128940925e-49,,1
boundary,L,1,-0.5286026412174009,0.09674403333701576,49,-5.463930156560357,1.6336001106378735e-06,0.0002292282879352,1
boundary,L,2,-23.387879752763457,0.4799072836576778,49,-48.73416292936751,1.5433155621406008e-42,0.0004418147727847,1
boundary,L,3,-63.079936829927625,0.6432088970456479,49,-98.07068453135983,5.809167878273394e-57,0.000503646209836,1
boundary,L,4,-5.171464344641774,0.21562177649322053,49,-23.983961308306778,2.25923662815789e-28,0.0007804138585925,1
boundary,L,5,-0.14620235373211754,0.04536227196634661,49,-3.2229945149260217,0.0022821026126565776,0.0009679924696683,1
boundary,L,6,-7.617817777599085,0.22028992089139796,49,-34.58087300033413,1.3890685098752615e-35,0.001079499721527,1
boundary,L,7,-0.2866516792828953,0.07144828076130957,49,-4.012016471614276,0.00020987507209560804,0.0014691120013594,1
boundary,L,8,-10.914405524874233,0.2611260110240516,49,-41.79746583678689,2.073883557369447e-39,0.001516374759376,1
boundary,L,9,-0.9300565781919057,0.06988861270513537,49,-13.307698381650175,1.0042223267273168e-17,0.0017501721158623,1
boundary,L,10,-2.8444288504019792,0.061807482095256314,49,-46.02078508906428,2.2810489242836393e-41,0.0018113795667886,1
boundary,L,11,-7.185086102410246,0.12333672376054898,49,-58.25585343388615,3.381328778778292e-46,0.0020164949819445,1
boundary,L,12,-2.375963594708914,0.06873512729135303,49,-34.56694834706175,1.4151478143214531e-35,0.0022517880424857,1
boundary,L,13,-3.7241723523570673,0.07034496999818254,49,-52.94155861397463,3.1128090580819873e-44,0.0023531662300229,1
boundary,L,14,-7.200323403853424,0.13406875348027603,49,-53.70620086292309,1.581561683682876e-44,0.0027416236698627,1
boundary,L,15,-1.9741912833600588,0.06980445743143981,49,-28.28173666845072,1.3843459814324638e-31,0.0029593342915177,1
boundary,L,16,-0.062218435617576714,0.01227578741863385,49,-5.06838653161533,6.384034561444422e-06,0.0029743034392595,1
boundary,L,17,-3.204572666784497,0.10805208997588335,49,-29.657664812404278,1.5977631194124318e-32,0.0030919155105948,1
boundary,L,18,-0.25872871366391403,0.018680209352396893,49,-13.85041831079458,2.1743533217462894e-18,0.0034280661493539,1
boundary,L,19,-2.431101799971661,0.08664659045102156,49,-28.05767413717083,1.985121089610211e-31,0.0035447385162115,1
boundary,L,20,-1.3676871020960002,0.040902199626688,49,-33.43798413236454,6.54567747901322e-35,0.0037717577069997,1
boundary,L,21,-0.6652965303639765,0.026032064432657244,49,-25.556810220912077,1.3308820380452053e-29,0.0040091443806886,1
boundary,L,22,-0.5449111349413694,0.022298343497463825,49,-24.437292169409208,9.830553395736632e-29,0.0041310228407382,1
boundary,L,23,-0.05768412983982901,0.00903934218857172,49,-6.381452171681037,6.53684760807594e-08,0.0044047320261597,1
boundary,L,24,-0.06462701414385816,0.010093593456527512,49,-6.402775624182086,6.062770739598613e-08,0.0045519033446908,1
