subject,run,hemi,mode_k,beta,p
sub-EN057,15,L,0,-2334.9364413839185,0.0397236061390001
sub-EN057,15,L,1,-2.2377819994583,0.0488514192757967
sub-EN057,15,L,2,-45.35501661315304,0.0373948953047652
sub-EN057,15,L,3,-111.0365368284396,0.0407064386260385
sub-EN057,15,L,4,-14.698608549290086,0.028350756044254
sub-EN057,15,L,5,-0.2040768982151257,0.207686463957273
sub-EN057,15,L,6,-14.718257563234506,0.0281124048340591
sub-EN057,15,L,7,-1.0313230350231055,0.0004795983422624
sub-EN057,15,L,8,-24.316202662240453,0.0335785899571681
sub-EN057,15,L,9,-1.9484184113828928,0.014336201470058
sub-EN057,15,L,10,-6.903827665415631,0.0021704913694782
sub-EN057,15,L,11,-13.678729052685926,0.0335320048025801
sub-EN057,15,L,12,-4.985941612243128,0.0308145218626092
sub-EN057,15,L,13,-6.954674455409668,0.037033888132755
sub-EN057,15,L,14,-11.38182762312791,0.0345646434995819
sub-EN057,15,L,15,-5.043340565785109,0.0370032352430819
sub-EN057,15,L,16,-0.1497490333823637,0.0232434046701082
sub-EN057,15,L,17,-5.173911668142503,0.0358627967722888
sub-EN057,15,L,18,-0.4647511056415766,0.0136426069357399
sub-EN057,15,L,19,-4.42932365724693,0.0245449538917612
sub-EN057,15,L,20,-2.425823517345988,0.0344226678695523
sub-EN057,15,L,21,-1.015188281526026,0.0170527724201305
sub-EN057,15,L,22,-1.0702375304136291,0.0202061173438905
sub-EN057,15,L,23,-0.0833026965514508,0.3861056580817377
sub-EN057,15,L,24,-0.7825263205202789,7.429827754431382e-05
sub-EN057,15,L,25,-1.3836954885617885,2.2714235900822206e-07
sub-EN057,15,L,26,-1.8790797157695784,0.0339831816623813
sub-EN057,15,L,27,-0.2715305117769204,0.0019676387192089
sub-EN057,15,L,28,-0.6385131435198353,0.0098077861202683
sub-EN057,15,L,29,-0.0443084325166247,0.5822361533391528
sub-EN057,15,L,30,-0.433839966229438,0.0005703990203176
sub-EN057,15,L,31,-0.3301401877834649,0.0438318055644616
sub-EN057,15,L,32,-1.3331257296419483,0.0353247664057739
sub-EN057,15,L,33,-4.62605962483299,0.0401970783976285
sub-EN057,15,L,34,-0.2128845045219515,0.0175768328900465
sub-EN057,15,L,35,-0.6259832339939825,1.4742417178504238e-22
sub-EN057,15,L,36,-2.7124653843973574,0.0263888403930884
sub-EN057,15,L,37,-0.098519261456653,0.0107917489231968
sub-EN057,15,L,38,-1.3826351630920375,0.0214097836661325
sub-EN057,15,L,39,-1.285977249328036,0.0281302050418145
sub-EN057,15,L,40,-0.1487133516293398,0.0027124404028439
sub-EN057,15,L,41,-5.815971718179967,0.0385745941197947
sub-EN057,15,L,42,-0.0210773979940566,0.2552976270028435
sub-EN057,15,L,43,0.0083105579251022,0.8276474978921462
sub-EN057,15,L,44,-0.2144779913481751,0.0248853835913222
sub-EN057,15,L,45,-0.6914550608146739,0.0148990812849943
sub-EN057,15,L,46,-1.081807149652056,0.0336322805843889
sub-EN057,15,L,47,-0.1430765400027691,0.0446959396767463
sub-EN057,15,L,48,-8.424700392620398,0.0371554089242213
sub-EN057,15,L,49,-0.7334684321386905,0.0301451404747597
sub-EN057,15,L,50,0.0627467420801281,0.0514045611468234
sub-EN057,15,L,51,-0.8339648705257005,0.0119585961012104
sub-EN057,15,L,52,-0.0735847571077357,0.0633815757095293
sub-EN057,15,L,53,-1.3351518671541036,0.0282266281593278
sub-EN057,15,L,54,-0.3398529675031387,0.0676438611207891
sub-EN057,15,L,55,-0.1864475377729212,0.0029319358700926
sub-EN057,15,L,56,-0.4123278134214771,0.0166185003910118
sub-EN057,15,L,57,-0.3032384294807521,8.175323654601577e-06
sub-EN057,15,L,58,-0.5922994693978757,0.0322169463614392
sub-EN057,15,L,59,-0.7560275858266221,0.0282616573830107
sub-EN057,15,L,60,-0.853307735818021,0.0307681211820968
sub-EN057,15,L,61,-0.0609836257278435,0.0908935830493181
sub-EN057,15,L,62,-1.9353833965176253,0.0431155570692556
sub-EN057,15,L,63,-2.0449764460985778,0.0292769413080201
sub-EN057,15,L,64,-0.680379253745209,0.0035795880256
sub-EN057,15,L,65,-0.3840118551413359,0.0454591918729415
sub-EN057,15,L,66,-0.423387799986658,0.0283803576340887
sub-EN057,15,L,67,-0.5672114300434559,0.012632834783237
sub-EN057,15,L,68,-1.4030080328123498,0.0520837195930131
sub-EN057,15,L,69,-0.0361122129957788,0.1427714719534194
sub-EN057,15,L,70,-1.1443279136805669,0.0299647438537195
sub-EN057,15,L,71,-0.256253232412772,0.0279887918309526
