metric,hemi,mode_k,beta_mean,beta_sem,N_subj,t,p,lam,sig_q05
sentence_shift,L,0,-2175.312093210396,26.216113599253394,48,-82.97614690197051,1.256207513997472e-52,,1
sentence_shift,L,1,-1.5579003748990499,0.2543253063178934,48,-6.1256207549859605,1.7369517424697428e-07,0.0002292282879352,1
sentence_shift,L,2,-42.35650316603894,0.9632182452490927,48,-43.973941912910256,7.719728441049628e-40,0.0004418147727847,1
sentence_shift,L,3,-112.36299369013534,0.8884780605588288,48,-126.4668185722696,3.432770016552659e-61,0.000503646209836,1
sentence_shift,L,4,-9.673496327844054,0.34437591872687046,48,-28.089932546985796,4.983448487654025e-31,0.0007804138585925,1
sentence_shift,L,5,-0.3419204367079525,0.08261254938939391,48,-4.138843786266805,0.000143515432125906,0.0009679924696683,1
sentence_shift,L,6,-13.76521737972024,0.3227137163299927,48,-42.654577984049936,3.1225412234312965e-39,0.001079499721527,1
sentence_shift,L,7,-0.8201302338659242,0.11991786904356666,48,-6.83909946371685,1.4340210171176917e-08,0.0014691120013594,1
sentence_shift,L,8,-19.656275532853698,0.40604048285314537,48,-48.409644759394304,9.280182338100692e-42,0.001516374759376,1
sentence_shift,L,9,-1.7626513998765858,0.08799190786467223,48,-20.03197160570115,1.1735243920985912e-24,0.0017501721158623,1
sentence_shift,L,10,-5.048054412255164,0.09957420160917071,48,-50.696408614641015,1.1035088229687094e-42,0.0018113795667886,1
sentence_shift,L,11,-12.913681022750518,0.17963755546673904,48,-71.8874234800059,1.0108300009858025e-49,0.0020164949819445,1
sentence_shift,L,12,-4.3735540060530065,0.11849661623177839,48,-36.90868267072177,2.31055330661107e-36,0.0022517880424857,1
sentence_shift,L,13,-6.736982922423953,0.1225885334090389,48,-54.95606102036303,2.6470454101803324e-44,0.0023531662300229,1
sentence_shift,L,14,-12.845523655546797,0.20877774954079895,48,-61.52726372326641,1.4071552896148507e-46,0.0027416236698627,1
sentence_shift,L,15,-3.6686202552709966,0.11565127488364632,48,-31.721399171447942,2.177301810535492e-33,0.0029593342915177,1
sentence_shift,L,16,-0.24819686265034613,0.03181482102594642,48,-7.8012968373429,5.050084453698048e-10,0.0029743034392595,1
sentence_shift,L,17,-5.844949448332997,0.16644603839802094,48,-35.11618242517746,2.2134297141661942e-35,0.0030919155105948,1
sentence_shift,L,18,-0.580321361522818,0.03392544969787199,48,-17.105782434454195,8.144030298438913e-22,0.0034280661493539,1
sentence_shift,L,19,-4.38209807639491,0.1539535834908499,48,-28.46376145999458,2.769188942485753e-31,0.0035447385162115,1
sentence_shift,L,20,-2.5222235185440858,0.06981088239477128,48,-36.12937456199517,6.092388305831834e-36,0.0037717577069997,1
sentence_shift,L,21,-1.2622454155024316,0.049462647052130396,48,-25.51916427303431,3.454965036037399e-29,0.0040091443806886,1
sentence_shift,L,22,-1.0639079261501723,0.04937490258474172,48,-21.547544814376014,5.297997524776552e-26,0.0041310228407382,1
sentence_shift,L,23,-0.15993153293410547,0.03036475526177484,48,-5.267012085404089,3.392087387891735e-06,0.0044047320261597,1
sentence_shift,L,24,-0.2591353570314336,0.024465341948285913,48,-10.591936854150086,4.8445907019185245e-14,0.0045519033446908,1
sentence_shift,L,25,-0.874589411085037,0.03765371299747101,48,-23.227175793892584,2.093738029396622e-27,0.0046605272218585,1
sentence_shift,L,26,-2.2637720201743665,0.07670942122707228,48,-29.511003784961897,5.535201895971824e-32,0.0048440368846058,1
sentence_shift,L,27,-0.482104467763234,0.0291107755877109,48,-16.561031371721825,3.01538513179128e-21,0.0049720155075192,1
sentence_shift,L,28,-0.9745470445701844,0.029763366746362877,48,-32.7431722652571,5.226981738452245e-34,0.0052369954064488,1
sentence_shift,L,29,-0.5148959881429801,0.03259853291419495,48,-15.795066284064886,2.0029575184435974e-20,0.0054828114807605,1
sentence_shift,L,30,-0.4091875905483276,0.03096685887629043,48,-13.213726073509491,1.9332170751128947e-17,0.0056525152176618,1
sentence_shift,L,31,-0.39616907810754903,0.024651829103057615,48,-16.07057539022171,1.0063100451531995e-20,0.0058893002569675,1
sentence_shift,L,32,-1.526258471163228,0.04626773547406501,48,-32.987533440420044,3.7383798895110597e-34,0.0060744471848011,1
sentence_shift,L,33,-4.9525881230384705,0.12890178362243418,48,-38.42140879559186,3.711811563463041e-37,0.006196467205882,1
sentence_shift,L,34,-0.2473475503693229,0.021390210998937478,48,-11.56358627699416,2.403109392372076e-15,0.0063056014478206,1
sentence_shift,L,35,-0.0948001321010092,0.013058028426389872,48,-7.259911604222047,3.3017321193215017e-09,0.0066964793950319,1
sentence_shift,L,36,-3.257867834128046,0.07722720568957392,48,-42.18549415375099,5.1831944836407345e-39,0.0067823454737663,1
sentence_shift,L,37,-0.1372403093523217,0.012259314822408655,48,-11.194778120997578,7.408018584319282e-15,0.006928913295269,1
sentence_shift,L,38,-1.015207978550307,0.04030081615376485,48,-25.190754814415037,6.097957333777738e-29,0.0072302352637052,1
sentence_shift,L,39,-1.2401985540241454,0.03850257933890054,48,-32.210791466927205,1.0936438602290013e-33,0.0074026435613632,1
sentence_shift,L,40,-0.23477278887962752,0.02007998753589711,48,-11.691879213566386,1.6311199566310472e-15,0.0074999053031206,1
sentence_shift,L,41,-4.903034402587594,0.08967847471788512,48,-54.673481211760105,3.3604748699790664e-44,0.0076058097183704,1
sentence_shift,L,42,-0.06882482275046682,0.008688543893541015,48,-7.921329925216879,3.338849085053015e-10,0.0078272670507431,1
sentence_shift,L,43,-0.08965946583789149,0.011052725914557995,48,-8.11197767238554,1.7344056144104705e-10,0.0081295762211084,1
sentence_shift,L,44,-0.09527673881372077,0.012600085174581723,48,-7.561594822067036,1.1572627862341651e-09,0.008332522585988,1
sentence_shift,L,45,-0.8867252003135798,0.031513990470671764,48,-28.137509311580313,4.622600859665038e-31,0.0084747318178415,1
sentence_shift,L,46,-1.3671949428223007,0.0598780107551642,48,-22.833005398469865,4.389603565291338e-27,0.0086999479681253,1
sentence_shift,L,47,-0.15658532417792956,0.01164002965594497,48,-13.452313164679609,9.904994515393036e-18,0.0089640468358993,1
sentence_shift,L,48,-7.712478973751696,0.15738651067444953,48,-49.003430730507695,5.289891461877722e-42,0.0091615673154592,1
sentence_shift,L,49,-0.687206969160656,0.02223793772115392,48,-30.902459471632927,7.04488461100391e-33,0.0093336086720228,1
sentence_shift,L,50,-0.08146003853548024,0.010792631025823948,48,-7.5477460816151,1.2141890884566574e-09,0.0094550773501396,1
sentence_shift,L,51,-0.7058364646500768,0.027509828930047865,48,-25.657610101643357,2.7242770607919473e-29,0.0096245910972356,1
sentence_shift,L,52,-0.20501416659605876,0.025074251817683354,48,-8.176282510311022,1.39153542040131e-10,0.0098703932017087,1
sentence_shift,L,53,-1.066045620690229,0.04561554021439702,48,-23.370228998269486,1.6046400883953156e-27,0.0100258029997348,1
sentence_shift,L,54,-0.44872432297362796,0.023699446196254848,48,-18.933958171754178,1.2468776478469196e-23,0.0101064685732126,1
sentence_shift,L,55,-0.3139179890006478,0.01879559042616619,48,-16.701682782128962,2.1442869113294113e-21,0.0102680269628763,1
sentence_shift,L,56,-0.24501516491567518,0.01441093304675945,48,-17.002033395108388,1.0425372933611881e-21,0.0104580484330654,1
sentence_shift,L,57,-0.10922669419757254,0.010935989524332031,48,-9.987819936600031,3.3310711908765244e-13,0.0108443927019834,1
