subject,run,hemi,mode_k,beta,p,source_file
sub-EN057,15,L,0,-2927.464832620208,0.0097643135950816,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_shift/per_run/shift_L_run-15.csv
sub-EN057,15,L,1,-3.529063354670303,0.0017923347947106,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_shift/per_run/shift_L_run-15.csv
sub-EN057,15,L,2,-58.11446677652473,0.0075043846316751,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_shift/per_run/shift_L_run-15.csv
sub-EN057,15,L,3,-140.35142620951098,0.0095259852205432,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_shift/per_run/shift_L_run-15.csv
sub-EN057,15,L,4,-18.078181499015532,0.0068839236978544,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_shift/per_run/shift_L_run-15.csv
sub-EN057,15,L,5,-0.5673770730027671,0.0004051573994601,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_shift/per_run/shift_L_run-15.csv
sub-EN057,15,L,6,-17.648213151472373,0.0083454788277068,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_shift/per_run/shift_L_run-15.csv
sub-EN057,15,L,7,-0.64493842846145,0.0300554909828162,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_shift/per_run/shift_L_run-15.csv
sub-EN057,15,L,8,-29.406823624611263,0.0100307680957565,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_shift/per_run/shift_L_run-15.csv
sub-EN057,15,L,9,-1.8902592981964272,0.0175541605928793,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_shift/per_run/shift_L_run-15.csv
sub-EN057,15,L,10,-5.890659978397519,0.0090544565071203,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_shift/per_run/shift_L_run-15.csv
sub-EN057,15,L,11,-16.493601582662198,0.0102357322537217,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_shift/per_run/shift_L_run-15.csv
sub-EN057,15,L,12,-6.128041574232562,0.0078199777040716,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_shift/per_run/shift_L_run-15.csv
sub-EN057,15,L,13,-8.605129909515933,0.0097211709416878,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_shift/per_run/shift_L_run-15.csv
sub-EN057,15,L,14,-13.966304556113888,0.0093622517022496,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_shift/per_run/shift_L_run-15.csv
sub-EN057,15,L,15,-6.198680808261798,0.0102109469575419,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_shift/per_run/shift_L_run-15.csv
sub-EN057,15,L,16,-0.2184690308699258,0.0008743606752901,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_shift/per_run/shift_L_run-15.csv
sub-EN057,15,L,17,-6.331464494987225,0.0100827182166549,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_shift/per_run/shift_L_run-15.csv
sub-EN057,15,L,18,-0.496862019717068,0.0083151146570236,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_shift/per_run/shift_L_run-15.csv
sub-EN057,15,L,19,-5.222121878115684,0.007916742440635,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_shift/per_run/shift_L_run-15.csv
sub-EN057,15,L,20,-3.039782161032012,0.0078974346329976,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_shift/per_run/shift_L_run-15.csv
sub-EN057,15,L,21,-1.161570369817594,0.0062602877760012,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_shift/per_run/shift_L_run-15.csv
sub-EN057,15,L,22,-1.2385500164838668,0.0070997005018774,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_shift/per_run/shift_L_run-15.csv
sub-EN057,15,L,23,-0.090253413737107,0.347665754459462,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_shift/per_run/shift_L_run-15.csv
sub-EN057,15,L,24,-0.7296925166143042,0.000226198104486,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_shift/per_run/shift_L_run-15.csv
sub-EN057,15,L,25,-0.6717852975227401,0.0135965430306728,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_shift/per_run/shift_L_run-15.csv
sub-EN057,15,L,26,-2.243664108854605,0.0112138128256819,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_shift/per_run/shift_L_run-15.csv
sub-EN057,15,L,27,-0.1765805773469395,0.0451822397051841,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_shift/per_run/shift_L_run-15.csv
sub-EN057,15,L,28,-0.5897455902570531,0.0171622194472542,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_shift/per_run/shift_L_run-15.csv
sub-EN057,15,L,29,-0.3562663064531575,6.750944731584518e-06,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_shift/per_run/shift_L_run-15.csv
sub-EN057,15,L,30,-0.2852523763681674,0.0243326960304244,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_shift/per_run/shift_L_run-15.csv
sub-EN057,15,L,31,-0.4954712862343334,0.0023743139853834,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_shift/per_run/shift_L_run-15.csv
sub-EN057,15,L,32,-1.6088580146255158,0.0109438204813137,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_shift/per_run/shift_L_run-15.csv
