subject,run,hemi,mode_k,beta,p,source_file
sub-EN057,15,R,0,-2903.109382774194,0.0098409430323382,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_shift/per_run/shift_R_run-15.csv
sub-EN057,15,R,1,-1.159238735888214,6.521776396895478e-07,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_shift/per_run/shift_R_run-15.csv
sub-EN057,15,R,2,-27.55441705105022,0.0073960787189915,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_shift/per_run/shift_R_run-15.csv
sub-EN057,15,R,3,-211.774322935358,0.0098876940128592,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_shift/per_run/shift_R_run-15.csv
sub-EN057,15,R,4,-12.653173910579328,0.0079876682484691,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_shift/per_run/shift_R_run-15.csv
sub-EN057,15,R,5,-0.0452063183643131,0.4322556482674402,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_shift/per_run/shift_R_run-15.csv
sub-EN057,15,R,6,-31.62440464356979,0.0096104969288049,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_shift/per_run/shift_R_run-15.csv
sub-EN057,15,R,7,-1.0712702704849453,0.0024644883265086,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_shift/per_run/shift_R_run-15.csv
sub-EN057,15,R,8,-30.86271430862576,0.0096005529939524,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_shift/per_run/shift_R_run-15.csv
sub-EN057,15,R,9,-0.0727526093270354,0.5910225917909393,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_shift/per_run/shift_R_run-15.csv
sub-EN057,15,R,10,-5.262451736998645,0.015944861447379,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_shift/per_run/shift_R_run-15.csv
sub-EN057,15,R,11,-24.64553217086713,0.0099573142044046,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_shift/per_run/shift_R_run-15.csv
sub-EN057,15,R,12,-8.059672999263382,0.0098416676485828,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_shift/per_run/shift_R_run-15.csv
sub-EN057,15,R,13,-4.656707751499044,0.0116764051438334,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_shift/per_run/shift_R_run-15.csv
sub-EN057,15,R,14,-12.19188624323629,0.0090183827115413,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_shift/per_run/shift_R_run-15.csv
sub-EN057,15,R,15,-3.988714943791202,0.0103032399664807,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_shift/per_run/shift_R_run-15.csv
sub-EN057,15,R,16,-3.2950717879332267,0.0106870876012624,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_shift/per_run/shift_R_run-15.csv
sub-EN057,15,R,17,-15.248344772461182,0.0098183408218035,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_shift/per_run/shift_R_run-15.csv
sub-EN057,15,R,18,-0.6026304709540649,0.0006566540043777,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_shift/per_run/shift_R_run-15.csv
sub-EN057,15,R,19,-0.8809029957475637,0.0155199250310417,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_shift/per_run/shift_R_run-15.csv
sub-EN057,15,R,20,-2.511024179065555,0.0092128920594596,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_shift/per_run/shift_R_run-15.csv
sub-EN057,15,R,21,-2.385059365968943,0.0068201630578226,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_shift/per_run/shift_R_run-15.csv
sub-EN057,15,R,22,-4.884284694215578,0.0101294571819087,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_shift/per_run/shift_R_run-15.csv
sub-EN057,15,R,23,-2.4469579471680776,0.0097614467600757,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_shift/per_run/shift_R_run-15.csv
sub-EN057,15,R,24,-1.554829704703515,0.0007512161389738,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_shift/per_run/shift_R_run-15.csv
sub-EN057,15,R,25,-0.1408267225725843,0.0803457953748929,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_shift/per_run/shift_R_run-15.csv
sub-EN057,15,R,26,-0.1959935227773824,0.009938382494823,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_shift/per_run/shift_R_run-15.csv
sub-EN057,15,R,27,-1.9602890558775523,0.0090720786102961,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_shift/per_run/shift_R_run-15.csv
sub-EN057,15,R,28,-0.3111331057731687,0.0413881828528925,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_shift/per_run/shift_R_run-15.csv
sub-EN057,15,R,29,-0.1642565826694276,8.669957181165105e-06,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_shift/per_run/shift_R_run-15.csv
sub-EN057,15,R,30,0.0366825414991966,0.7050888223022342,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_shift/per_run/shift_R_run-15.csv
sub-EN057,15,R,31,-0.1177106095549857,0.0030379501051411,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_shift/per_run/shift_R_run-15.csv
sub-EN057,15,R,32,-1.996077263752928,0.009314478566975,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_shift/per_run/shift_R_run-15.csv
sub-EN057,15,R,33,-0.0929223285664815,0.035041837875521,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_shift/per_run/shift_R_run-15.csv
sub-EN057,15,R,34,-0.6188306998439638,0.0166210898619625,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_shift/per_run/shift_R_run-15.csv
sub-EN057,15,R,35,-0.153739456551945,0.0105216150844817,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_shift/per_run/shift_R_run-15.csv
sub-EN057,15,R,36,-0.487833822738184,0.0019690688498826,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_shift/per_run/shift_R_run-15.csv
