mode_k,beta_mean,beta_sem,N_subj,t,p,lam,sig_q05
1,-1.919869923015769,0.21178296679331263,49,-9.065270697097402,5.685979604007609e-12,0.0002292282879352,1
2,-52.1035957998952,1.0945841707814166,49,-47.60126922235572,4.666935288634577e-42,0.0004418147727847,1
3,-138.1474038262654,0.9945038847020934,49,-138.910874005935,3.405101101312399e-64,0.000503646209836,1
4,-11.838586747498942,0.40177700448906917,49,-29.465565762166523,2.1481466261600948e-32,0.0007804138585925,1
5,-0.4681086272511328,0.07028828936751452,49,-6.659838096265874,2.4450017681103957e-08,0.0009679924696683,1
6,-16.911307065981863,0.3865730891994522,49,-43.746726139171265,2.4570989696355717e-40,0.001079499721527,1
7,-0.7747052954686714,0.1260286949463249,49,-6.147054810006683,1.4942696838396866e-07,0.0014691120013594,1
8,-24.05172604281191,0.5016772022965222,49,-47.94263309696074,3.334864834258186e-42,0.001516374759376,1
9,-2.130152808323988,0.11101665335554863,49,-19.1876871076435,3.7316548538854516e-24,0.0017501721158623,1
10,-6.167311313887262,0.11379359296139367,49,-54.197351128368204,1.028795763954709e-44,0.0018113795667886,1
11,-15.811190963073937,0.198988070192597,49,-79.45798432926439,1.3331544324145841e-52,0.0020164949819445,1
12,-5.234450474597361,0.14577817123695094,49,-35.90695664640472,2.4372233912752533e-36,0.0022517880424857,1
13,-8.12300217251471,0.1471364289686429,49,-55.20728095314757,4.299387853405373e-45,0.0023531662300229,1
14,-15.711345116069188,0.24409571097715996,49,-64.36551077925043,2.991064861231008e-48,0.0027416236698627,1
15,-4.4394676100029695,0.13202802726240193,49,-33.62519081785305,5.061047727120321e-35,0.0029593342915177,1
16,-0.22859961526238606,0.038183147550980456,49,-5.986924335066142,2.625277290583523e-07,0.0029743034392595,1
17,-7.1684240042627465,0.1965843703537909,49,-36.46487251942668,1.1929493569297511e-36,0.0030919155105948,1
18,-0.6124245531074043,0.03678298659417611,49,-16.64966904031578,1.4127070803602292e-21,0.0034280661493539,1
19,-5.307605565800762,0.18807793240966272,49,-28.220246244732095,1.5279009772193656e-31,0.0035447385162115,1
20,-3.0581863504800153,0.08157841932153567,49,-37.487688238066816,3.304650876565472e-37,0.0037717577069997,1
21,-1.5124620326765088,0.05702355655656761,49,-26.523460197999754,2.514071270816878e-30,0.0040091443806886,1
22,-1.239853731442708,0.04731508697469507,49,-26.204194279634386,4.333551049031174e-30,0.0041310228407382,1
23,-0.12958705703582132,0.01819580318764874,49,-7.121810216313213,4.7845356448964854e-09,0.0044047320261597,1
24,-0.23372762283351395,0.024257040332819103,49,-9.635455093723326,8.421401358214303e-13,0.0045519033446908,1
25,-0.9985158361399835,0.042717005128330605,49,-23.3751367433236,7.055579867813798e-28,0.0046605272218585,1
26,-2.527446392996518,0.07877417706418108,49,-32.08470703460713,4.3753931308645275e-34,0.0048440368846058,1
27,-0.5663242339624426,0.037602758811279176,49,-15.060709689007453,8.153824446523729e-20,0.0049720155075192,1
28,-1.1530461357232606,0.038078208407443914,49,-30.280997556015567,6.186982543966835e-33,0.0052369954064488,1
