mode_k,beta_mean,beta_sem,N_subj,t,p,lam,sig_q05
1,-1.6932814311522077,0.23707479528035905,49,-7.1423933073516865,4.449608576335174e-09,0.0002292282879352,1
2,-22.239655502963522,0.5517876158897772,49,-40.304738385803184,1.1331887018282989e-38,0.0004418147727847,1
3,-201.11467156942643,1.413389670819503,49,-142.29244469631462,1.076296191955695e-64,0.000503646209836,1
4,-8.557701281166622,0.3524882057308196,49,-24.277979070033847,1.3149895343993559e-28,0.0007804138585925,1
5,-0.42800474982491704,0.0768205071389517,49,-5.571490813654081,1.1238819650513965e-06,0.0009679924696683,1
6,-30.593571164338105,0.6386603661821837,49,-47.90272386436301,3.468089137396478e-42,0.001079499721527,1
7,-1.43042483619778,0.18928892065117073,49,-7.556833391394444,1.0357591588067745e-09,0.0014691120013594,1
8,-25.968209300163323,0.4947234313146805,49,-52.49035654356471,4.662394429594149e-44,0.001516374759376,1
9,-0.31521758734100513,0.04405243041279464,49,-7.155509568649201,4.2485479152042666e-09,0.0017501721158623,1
10,-6.410282400117416,0.12057439480705438,49,-53.16454136365587,2.5525574648444597e-44,0.0018113795667886,1
11,-22.61438522913116,0.29096237163118355,49,-77.722714117125,3.816816090566902e-52,0.0020164949819445,1
12,-6.486243093924752,0.1691515230923652,49,-38.34575636887963,1.1542272105333884e-37,0.0022517880424857,1
13,-4.287380598885792,0.1069289096356265,49,-40.09561692432451,1.444370382760776e-38,0.0023531662300229,1
14,-14.755323652730945,0.23473375661723248,49,-62.85982836627817,9.19595924880524e-48,0.0027416236698627,1
15,-3.562251850356297,0.09627989828853122,49,-36.998915803597505,6.077719963182857e-37,0.0029593342915177,1
16,-4.4974567120320454,0.117661600036839,49,-38.22365759622446,1.3387775671178852e-37,0.0029743034392595,1
17,-14.391655266535281,0.3412521793185021,49,-42.17307943725413,1.3649981242556191e-39,0.0030919155105948,1
18,-0.6084889078004516,0.042121480953957145,49,-14.446047337831944,4.227463645865505e-19,0.0034280661493539,1
19,-1.2258684375978677,0.1013186286855561,49,-12.099141623820916,3.46331052581307e-16,0.0035447385162115,1
20,-2.4696032796402227,0.07724865504489017,49,-31.96953109675638,5.160593264959096e-34,0.0037717577069997,1
21,-2.736513941536952,0.08379642751993518,49,-32.656689819932176,1.9430110212774385e-34,0.0040091443806886,1
22,-4.425206256856584,0.07463935653801813,49,-59.28784038488557,1.472155960565225e-46,0.0041310228407382,1
23,-1.5135213804137964,0.06904606438786683,49,-21.920458375608174,1.1897382074611352e-26,0.0044047320261597,1
24,-0.5475207208724342,0.03843388793057541,49,-14.245780230754736,7.297014774841644e-19,0.0045519033446908,1
25,-0.08442443608477138,0.01703729488369664,49,-4.955272339951042,9.386699296666983e-06,0.0046605272218585,1
