profile,PC1,PC2,PC3
Boundary,1.5956259306302416,-0.00669236991727337,2.525852673903542e-06
Sentence shift,-0.13633522331197145,0.015227789325000577,-0.0038934665789438277
Shift,-0.136177916156186,0.01606317964608767,-0.00013686702813240368
AR error,-0.13668792117478185,0.015182910314109467,-0.00013391919267479902
Subspace exit,-0.13696811966514932,0.014956584926028428,-3.42448978512775e-05
Curvature,-0.13611546726047719,0.016219009913047016,0.00015974869118548553
Shift (joint AR),-0.136177916156186,0.016063179646087673,-0.000136867028132387
AR resid,-0.22146258287259243,-0.13579012049654193,-9.796118546820666e-05
Shift (joint subspace),-0.136177916156186,0.016063179646087677,-0.00013686702813238197
Subspace resid,-0.14810161147399611,-0.0011235484925932013,0.0013760886880633406
Shift (joint curv),-0.1361779161561859,0.01606317964608765,-0.00013686702813239676
Curvature resid,-0.13524334024653087,0.017767025843872592,0.003168696735544982
