subject,run,hemi,K,r2
sub-EN057,15,L,1,0.8417412297930186
sub-EN057,15,L,2,0.8442722082689033
sub-EN057,15,L,3,0.8625394449526287
sub-EN057,15,L,5,0.9102421604648165
sub-EN057,15,L,10,0.9295101613594261
sub-EN057,15,L,20,0.9553559987370732
sub-EN057,15,L,40,0.9701270023560215
sub-EN057,15,L,60,0.9824077868411969
sub-EN057,15,L,80,0.990727331500868
sub-EN057,15,L,100,0.995642901159896
sub-EN057,15,L,120,1.0
sub-EN057,15,R,1,0.8211343273712748
sub-EN057,15,R,2,0.8230948941497026
sub-EN057,15,R,3,0.8329976503881711
sub-EN057,15,R,5,0.8988772125157056
sub-EN057,15,R,10,0.9211594547038884
sub-EN057,15,R,20,0.951906116622813
sub-EN057,15,R,40,0.9696711952398963
sub-EN057,15,R,60,0.9809440426712493
sub-EN057,15,R,80,0.9899229547576417
sub-EN057,15,R,100,0.9954833046216663
sub-EN057,15,R,120,1.0
sub-EN057,16,L,1,0.8082121143215726
sub-EN057,16,L,2,0.8096443547126911
sub-EN057,16,L,3,0.8312141690306176
sub-EN057,16,L,5,0.8888003527675438
sub-EN057,16,L,10,0.9112248931450024
sub-EN057,16,L,20,0.9432555989323118
sub-EN057,16,L,40,0.9625153587515558
sub-EN057,16,L,60,0.9767222343291129
sub-EN057,16,L,80,0.9864994154355703
sub-EN057,16,L,100,0.9928689930281875
sub-EN057,16,L,120,1.0
sub-EN057,16,R,1,0.7952860391293198
sub-EN057,16,R,2,0.797086675864112
sub-EN057,16,R,3,0.8070348458966753
sub-EN057,16,R,5,0.8832626141466017
sub-EN057,16,R,10,0.9120018722654314
sub-EN057,16,R,20,0.9447210215771489
sub-EN057,16,R,40,0.9656769246282167
sub-EN057,16,R,60,0.9780760425603032
sub-EN057,16,R,80,0.9877323943480257
sub-EN057,16,R,100,0.99393827882701
sub-EN057,16,R,120,1.0
sub-EN057,17,L,1,0.8025015978335015
sub-EN057,17,L,2,0.8087064275508821
sub-EN057,17,L,3,0.8330273576685935
sub-EN057,17,L,5,0.8858689215810047
sub-EN057,17,L,10,0.907124333560187
sub-EN057,17,L,20,0.9410270058168686
sub-EN057,17,L,40,0.9616808732892282
sub-EN057,17,L,60,0.9765223277589916
sub-EN057,17,L,80,0.9869342012993235
sub-EN057,17,L,100,0.9938999775447372
sub-EN057,17,L,120,1.0
sub-EN057,17,R,1,0.7791083038965272
sub-EN057,17,R,2,0.7846518448379377
sub-EN057,17,R,3,0.80841991172217
sub-EN057,17,R,5,0.8773914214791299
sub-EN057,17,R,10,0.905166801910002
sub-EN057,17,R,20,0.9417992257242613
sub-EN057,17,R,40,0.9633425638349724
sub-EN057,17,R,60,0.9770553770190409
sub-EN057,17,R,80,0.9875359186767979
sub-EN057,17,R,100,0.994207938195058
sub-EN057,17,R,120,1.0
sub-EN057,18,L,1,0.8287799826065362
sub-EN057,18,L,2,0.8317220832174415
sub-EN057,18,L,3,0.8520162796033366
sub-EN057,18,L,5,0.9010494081566806
sub-EN057,18,L,10,0.9206339645668137
sub-EN057,18,L,20,0.9480261955917881
sub-EN057,18,L,40,0.9646789622226568
sub-EN057,18,L,60,0.9782181234854146
sub-EN057,18,L,80,0.9875236044130203
sub-EN057,18,L,100,0.9936111148337009
sub-EN057,18,L,120,1.0
sub-EN057,18,R,1,0.8076819541456474
sub-EN057,18,R,2,0.8100193869061414
sub-EN057,18,R,3,0.8226978921706893
sub-EN057,18,R,5,0.8888867711320756
sub-EN057,18,R,10,0.9125974450712896
sub-EN057,18,R,20,0.945729500278753
sub-EN057,18,R,40,0.9659702120236213
sub-EN057,18,R,60,0.9782310974301556
sub-EN057,18,R,80,0.9881710230079016
sub-EN057,18,R,100,0.9946176956951321
sub-EN057,18,R,120,1.0
sub-EN057,19,L,1,0.824200383340685
sub-EN057,19,L,2,0.8288255540313997
sub-EN057,19,L,3,0.8478467105036382
sub-EN057,19,L,5,0.8984026514443075
sub-EN057,19,L,10,0.9192755950589869
sub-EN057,19,L,20,0.9484949055215498
sub-EN057,19,L,40,0.9652067307377276
