K,energy_mean,energy_sem,N_subj
1,0.8021975743146063,0.0035308639022714992,49
2,0.8084962866680884,0.003054923976606086,49
3,0.8251707726629884,0.0025444895812907534,49
5,0.885273267891254,0.0020846042949366804,49
10,0.9101619889230362,0.0016206774753407614,49
20,0.9420225454730042,0.001159091774198294,49
40,0.9623422318499039,0.0007350595932648807,49
60,0.976447617622767,0.0004798363396197836,49
80,0.9873361140145287,0.00029639382937669183,49
100,0.9940733772449215,0.00013474576294703747,49
120,1.0,0.0,49
