subject,K,energy_subject
sub-EN057,1,0.8023455588029996
sub-EN057,2,0.8081527449489969
sub-EN057,3,0.8283417683566018
sub-EN057,5,0.8903673292645754
sub-EN057,10,0.9137793730937926
sub-EN057,20,0.9457050883976146
sub-EN057,40,0.9645125501175591
sub-EN057,60,0.9776259274225565
sub-EN057,80,0.9875731258419491
sub-EN057,100,0.9940067733878626
sub-EN057,120,1.0
sub-EN058,1,0.8187926510828177
sub-EN058,2,0.8228416961731414
sub-EN058,3,0.8370594545212682
sub-EN058,5,0.8956627367317567
sub-EN058,10,0.9188189976811145
sub-EN058,20,0.9473888447756617
sub-EN058,40,0.9663773409641876
sub-EN058,60,0.9792859927314459
sub-EN058,80,0.9892532909878793
sub-EN058,100,0.9950282736120928
sub-EN058,120,1.0
sub-EN059,1,0.8291097498028652
sub-EN059,2,0.8343594357722681
sub-EN059,3,0.8472849034177387
sub-EN059,5,0.9039208477386304
sub-EN059,10,0.9247849071400118
sub-EN059,20,0.9540419739672652
sub-EN059,40,0.9695046747477702
sub-EN059,60,0.9810499134906866
sub-EN059,80,0.9905355439535702
sub-EN059,100,0.9954709603509068
sub-EN059,120,1.0
sub-EN061,1,0.8203669283631477
sub-EN061,2,0.8252609745495403
sub-EN061,3,0.8412254790472544
sub-EN061,5,0.8977684631232743
sub-EN061,10,0.9193045216736739
sub-EN061,20,0.948066381227718
sub-EN061,40,0.9657350297489098
sub-EN061,60,0.9785996592160537
sub-EN061,80,0.9881395013050454
sub-EN061,100,0.9946002112095511
sub-EN061,120,1.0
sub-EN062,1,0.8210486015120377
sub-EN062,2,0.8232023264782646
sub-EN062,3,0.8391402138744466
sub-EN062,5,0.8971803961592928
sub-EN062,10,0.9199516447630399
sub-EN062,20,0.9482714513095838
sub-EN062,40,0.9667310220134375
sub-EN062,60,0.9793896146998955
sub-EN062,80,0.9894398696090716
sub-EN062,100,0.994987360269831
sub-EN062,120,1.0
sub-EN063,1,0.8178359819850196
sub-EN063,2,0.823419092450018
sub-EN063,3,0.8394627122521267
sub-EN063,5,0.8993033358532716
sub-EN063,10,0.9220965768554747
sub-EN063,20,0.9509145253930951
sub-EN063,40,0.9686099063834556
sub-EN063,60,0.9803912363826854
sub-EN063,80,0.9897779528750866
sub-EN063,100,0.9951147731833608
sub-EN063,120,1.0
sub-EN064,1,0.8274263528380061
sub-EN064,2,0.8325344136125016
sub-EN064,3,0.8442527834223558
sub-EN064,5,0.9009574009228728
sub-EN064,10,0.9240367851086625
sub-EN064,20,0.9516820655890125
sub-EN064,40,0.9683039298087969
sub-EN064,60,0.9801049145873589
sub-EN064,80,0.9897270461337578
sub-EN064,100,0.9951385018324701
sub-EN064,120,1.0
sub-EN065,1,0.8358922471434379
sub-EN065,2,0.8379556908768486
sub-EN065,3,0.8498300988064281
sub-EN065,5,0.9045746503566178
sub-EN065,10,0.9263658249996234
sub-EN065,20,0.9526991105137272
sub-EN065,40,0.9691321402556393
sub-EN065,60,0.9809115377093293
sub-EN065,80,0.9900473637910796
sub-EN065,100,0.9953320506002604
sub-EN065,120,1.0
sub-EN067,1,0.7896887583645712
sub-EN067,2,0.7965398829193812
sub-EN067,3,0.8166003142585576
sub-EN067,5,0.8787512436659188
sub-EN067,10,0.9029453675461832
sub-EN067,20,0.9356073014522767
sub-EN067,40,0.9585046401128368
sub-EN067,60,0.9739275765657553
sub-EN067,80,0.9856916872910859
sub-EN067,100,0.9932503903240537
sub-EN067,120,1.0
sub-EN068,1,0.795505705753854
sub-EN068,2,0.8013610396889321
sub-EN068,3,0.8166801237991419
sub-EN068,5,0.8764069691233651
sub-EN068,10,0.9023478485876905
sub-EN068,20,0.9365411206806772
sub-EN068,40,0.9593681899174497
sub-EN068,60,0.9743366855857167
sub-EN068,80,0.9859457064594656
sub-EN068,100,0.9935625901770861
sub-EN068,120,1.0
sub-EN069,1,0.806931776494596
sub-EN069,2,0.8123359894113168
sub-EN069,3,0.8277344969006832
sub-EN069,5,0.8868700831378001
sub-EN069,10,0.909925192382803
sub-EN069,20,0.941563130077778
sub-EN069,40,0.9617399137746031
sub-EN069,60,0.9761962574871522
sub-EN069,80,0.9873326165853806
sub-EN069,100,0.994160330920165
sub-EN069,120,1.0
sub-EN070,1,0.814401358119914
sub-EN070,2,0.8190756142336106
sub-EN070,3,0.8339970338819094
sub-EN070,5,0.8924974877791337
sub-EN070,10,0.9146685334797103
sub-EN070,20,0.9447683321401623
sub-EN070,40,0.9637357045912339
sub-EN070,60,0.9772799680708566
sub-EN070,80,0.9876279606002031
sub-EN070,100,0.9942670640903774
sub-EN070,120,1.0
sub-EN072,1,0.8174475857041824
sub-EN072,2,0.8204542927869635
sub-EN072,3,0.8353200777215958
sub-EN072,5,0.8906014701761849
sub-EN072,10,0.9135584487418823
sub-EN072,20,0.9425534323654315
sub-EN072,40,0.9631227837807675
sub-EN072,60,0.9772611254842991
sub-EN072,80,0.987904274312587
sub-EN072,100,0.9942426083814964
sub-EN072,120,1.0
sub-EN073,1,0.8109872516598425
sub-EN073,2,0.8167087684665619
sub-EN073,3,0.8316412862412754
sub-EN073,5,0.8886159255234162
sub-EN073,10,0.9113063318271828
sub-EN073,20,0.9427356845106475
sub-EN073,40,0.962849860266324
sub-EN073,60,0.9770575730555012
sub-EN073,80,0.9877781169498403
sub-EN073,100,0.9943157513738081
sub-EN073,120,1.0
sub-EN074,1,0.7930860860236215
sub-EN074,2,0.798933924829656
sub-EN074,3,0.8173615931836828
sub-EN074,5,0.8757303151462472
sub-EN074,10,0.9037610562994671
sub-EN074,20,0.936922354369079
sub-EN074,40,0.9595976235464517
sub-EN074,60,0.9743398228391551
sub-EN074,80,0.9862962507772912
sub-EN074,100,0.9938730278044103
sub-EN074,120,1.0
sub-EN075,1,0.7242324331492275
sub-EN075,2,0.7462575262244315
sub-EN075,3,0.7803656698595351
sub-EN075,5,0.8502894555138104
sub-EN075,10,0.8822169841016919
sub-EN075,20,0.924285988394274
sub-EN075,40,0.951689332828496
sub-EN075,60,0.9699372299578803
sub-EN075,80,0.9833199944114815
sub-EN075,100,0.9923962892446796
sub-EN075,120,1.0
sub-EN076,1,0.8204557090762159
sub-EN076,2,0.8244379006722509
sub-EN076,3,0.8392205443036601
sub-EN076,5,0.8968257243901933
sub-EN076,10,0.9183347568725689
sub-EN076,20,0.947955828170893
sub-EN076,40,0.9660518419155015
sub-EN076,60,0.9791216842604918
sub-EN076,80,0.9888037379760521
sub-EN076,100,0.9946689022290935
sub-EN076,120,1.0
sub-EN077,1,0.8078415189257213
sub-EN077,2,0.8127033849418194
sub-EN077,3,0.8271159689509244
sub-EN077,5,0.8857338952468656
sub-EN077,10,0.9095874028842496
sub-EN077,20,0.9413489868209499
sub-EN077,40,0.9618754311831107
sub-EN077,60,0.9765863147609033
sub-EN077,80,0.9872104672924805
sub-EN077,100,0.9940066737823438
sub-EN077,120,1.0
sub-EN078,1,0.7705434189876212
sub-EN078,2,0.7800153637248454
sub-EN078,3,0.7981967194759594
sub-EN078,5,0.8644890860544471
sub-EN078,10,0.8956960440705752
sub-EN078,20,0.9317992523199644
sub-EN078,40,0.95579855096195
sub-EN078,60,0.9724492167613958
sub-EN078,80,0.9850214595972369
sub-EN078,100,0.9930978121138099
sub-EN078,120,1.0
sub-EN079,1,0.8108323378791313
sub-EN079,2,0.8155442027588554
sub-EN079,3,0.8302002993901979
sub-EN079,5,0.8896898892017275
sub-EN079,10,0.9131845546784455
sub-EN079,20,0.9444255290274793
sub-EN079,40,0.9635175474953238
sub-EN079,60,0.976615595078662
sub-EN079,80,0.9873437348933839
sub-EN079,100,0.9942435750101022
sub-EN079,120,1.0
sub-EN081,1,0.8267685368093509
sub-EN081,2,0.8303097405595196
sub-EN081,3,0.8434626723680123
sub-EN081,5,0.8993536664896428
sub-EN081,10,0.9205845213349071
sub-EN081,20,0.9508334755317309
sub-EN081,40,0.9686004254060518
sub-EN081,60,0.980867310630666
sub-EN081,80,0.9900786690851702
sub-EN081,100,0.9954220985708591
sub-EN081,120,1.0
sub-EN082,1,0.7944501341376425
sub-EN082,2,0.8033069993344912
sub-EN082,3,0.8189939068912331
sub-EN082,5,0.881541428901064
sub-EN082,10,0.9070453111711827
sub-EN082,20,0.9387082470675756
sub-EN082,40,0.9596934555215627
sub-EN082,60,0.9752362487656951
sub-EN082,80,0.9864119401392016
