metric,k_low,hemi,spatial_r,r2
boundary,20,L,0.9946379671455788,0.9892944845218019
boundary,20,R,0.9975005513953689,0.9949982507352945
boundary,20,bihemi,0.9965252687008048,0.9930587423900791
sentence_shift,20,L,0.9945171288233517,0.9890536833315046
sentence_shift,20,R,0.9973852094296716,0.9947678873311169
sentence_shift,20,bihemi,0.996412020169645,0.992833068045314
token_shift,20,L,0.9946263804606825,0.9892713377164266
token_shift,20,R,0.9974534219356306,0.9949040560316583
token_shift,20,bihemi,0.9964895964615731,0.992987625637838
pred_error_ar,20,L,0.9946234614433789,0.9892655242319776
pred_error_ar,20,R,0.997450589313772,0.9948983914494917
pred_error_ar,20,bihemi,0.9964869111731744,0.9929822741065457
pred_error_subspace,20,L,0.9946220262524033,0.9892626621680736
pred_error_subspace,20,R,0.9974480603693756,0.994893345744211
pred_error_subspace,20,bihemi,0.9964847036482386,0.9929778724077992
curvature,20,L,0.9946313756062264,0.9892812818395108
curvature,20,R,0.9974554215663048,0.9949080610007095
curvature,20,bihemi,0.9964925763822734,0.9929935626163113
