boundary_idx,run_id,prev_sentence_id,cur_sentence_id,boundary_onset,pre_window_size,post_window_size,pre_entropy,post_entropy,pre_id,post_id,entropy_post_minus_pre,id_post_minus_pre
23,1,1,2,9.247,4,4,1.052795597641447,0.9902502238881634,2.7680556576190725,2.439632532288456,-0.0625453737532835,-0.32842312533061646
32,1,2,3,13.144,4,4,1.0198183131065162,0.9471313758782673,2.595675559303054,2.3257477594984297,-0.07268693722824882,-0.26992779980462434
39,1,3,4,15.86,4,4,0.981757670371318,1.016806905850185,2.426853019161267,2.578111851795148,0.03504923547886696,0.15125883263388085
70,1,4,5,27.292,4,4,1.0743532392395831,1.0420405394553738,2.8573810626137433,2.679190546396879,-0.032312699784209364,-0.17819051621686421
99,1,5,6,37.186,4,4,1.069924013457987,1.0539617239224137,2.830234903257571,2.7717035602232283,-0.015962289535573326,-0.0585313430343426
103,1,6,7,39.608,4,4,1.0539617239224137,1.0524916898995667,2.7717035602232283,2.762763939208328,-0.0014700340228470665,-0.008939621014900201
119,1,7,8,44.39,4,4,1.0815036721975875,1.085154112411122,2.9046425857556537,2.921405782898411,0.003650440213534445,0.016763197142757313
130,1,8,9,49.13,4,4,1.0021233680048651,1.0463685747545721,2.5388950206264265,2.7359843752419826,0.044245206749707,0.1970893546155561
137,1,9,10,51.109,4,4,1.0513635689682155,0.9826997524660013,2.760254980631912,2.414385099016937,-0.0686638165022142,-0.3458698816149748
145,1,10,11,55.085,4,4,1.0606190670107705,1.0385091720683268,2.7872176784789002,2.6666944234969483,-0.022109894942443642,-0.12052325498195193
160,1,11,12,60.612,4,4,1.0100863916434466,1.089810738941824,2.5512284952542754,2.949208019962366,0.0797243472983773,0.3979795247080906
167,1,12,13,63.594,4,4,1.0658394479719326,1.0508727138710956,2.81317137445901,2.747595934283801,-0.014966734100837042,-0.06557544017520911
174,1,13,14,67.14,4,4,1.0508465392967097,1.069243995007922,2.743071694885187,2.8263247187324505,0.018397455711212318,0.0832530238472633
199,1,14,15,78.254,4,4,1.0767572906344838,1.0475574314685072,2.8779057685104537,2.713870871592921,-0.02919985916597656,-0.1640348969175327
213,1,15,16,83.716,4,4,0.9699846255546025,1.0751230850837898,2.4487481861855973,2.8706827531125536,0.10513845952918732,0.4219345669269563
230,1,16,17,89.054,4,4,1.0526603927587197,1.039696924523411,2.7445867330381266,2.6861448218339214,-0.012963468235308806,-0.058441911204205166
251,1,17,18,97.465,4,4,1.0039051063015054,1.0591811463995522,2.5602531885209894,2.779330418545846,0.055276040098046764,0.21907723002485646
264,1,18,19,102.267,4,4,1.0485914183287393,1.067649777502336,2.7319063989645795,2.8343065271461936,0.019058359173596662,0.10240012818161404
283,1,19,20,108.174,4,4,1.088205465968548,1.068822634322548,2.9402359161046476,2.8376386891869245,-0.019382831646000076,-0.1025972269177231
292,1,20,21,111.893,4,4,1.0560494310362305,1.0635977663414355,2.7678966579837327,2.801103418447188,0.007548335305205045,0.033206760463455165
302,1,21,22,114.725,4,4,1.0821146544177502,1.0252263085018156,2.90781085097168,2.6422150772106403,-0.05688834591593461,-0.2655957737610395
317,1,22,23,120.152,4,4,1.0925055358114928,1.0482858141696345,2.963988240027331,2.7165763368875075,-0.04421972164185828,-0.24741190313982342
325,1,23,24,123.19,4,4,1.066265597024453,0.9915797692410546,2.8287767688532655,2.4508966992520667,-0.07468582778339838,-0.3778800696011988
332,1,24,25,125.363,4,4,1.0578377834531498,1.0475600290313207,2.766838121827914,2.716256183467301,-0.0102777544218291,-0.05058193836061298
341,1,25,26,128.361,4,4,1.062717907927915,1.0382059942496746,2.809555349721315,2.692308464745344,-0.02451191367824035,-0.11724688497597091
370,1,26,27,137.526,4,4,1.0076753222175359,0.9415701167035607,2.5128968708732002,2.3072455154116147,-0.06610520551397514,-0.20565135546158553
391,1,27,28,145.045,4,4,1.0312468163082933,1.0279995912289936,2.6246322448994843,2.6325871245206747,-0.0032472250792996427,0.007954879621190347
409,1,28,29,151.531,4,4,1.008192310050004,1.0263055368471756,2.566797494708024,2.60954088674324,0.018113226797171533,0.04274339203521604
415,1,29,30,153.44,4,4,1.0691730960577954,1.028198182903264,2.838788903059466,2.6245392178686764,-0.04097491315453139,-0.21424968519078957
436,1,30,31,163.261,4,4,1.05384842271919,1.0460915576906076,2.7648457940739646,2.71074162334255,-0.007756865028582416,-0.05410417073141449
457,1,31,32,170.856,4,4,1.0730665035626663,1.0424925788278272,2.8529157213376095,2.697761462768669,-0.03057392473483911,-0.1551542585689405
488,1,32,33,182.039,4,4,1.0504039799264564,1.0050107978741387,2.7302087351554434,2.546063750460469,-0.04539318205231768,-0.1841449846949743
498,1,33,34,184.611,4,4,1.0503809162741469,1.0492953231198332,2.724473527416041,2.71886403415958,-0.0010855931543136688,-0.0056094932564612066
508,1,34,35,188.148,4,4,1.0739207932788422,1.0495764173469997,2.8634951714571106,2.753949143370887,-0.024344375931842466,-0.10954602808622349
525,1,35,36,193.62,4,4,0.9898046906966396,1.0670912128832541,2.440296244680232,2.8204033032468634,0.07728652218661458,0.3801070585666313
542,1,36,37,198.772,4,4,1.0482983999421878,1.032268856813406,2.7465644245471346,2.679882648542988,-0.016029543128781798,-0.06668177600414671
558,1,37,38,204.758,4,4,1.0948376526299304,1.0615923841133545,2.977459434742119,2.7930398088540707,-0.03324526851657583,-0.18441962588804817
570,1,40,41,212.008,4,4,1.069122754403487,1.05981887214609,2.841576327371843,2.7831123276925323,-0.009303882257396978,-0.058463999679310596
583,1,41,42,215.037,4,4,0.9444727363247001,1.058366933484458,2.2558292957203205,2.7698176043314637,0.11389419715975801,0.5139883086111432
587,1,42,43,216.66,4,4,1.058366933484458,0.8557629451758972,2.7698176043314637,1.9863872191865373,-0.20260398830856086,-0.7834303851449265
607,1,43,44,224.735,4,4,1.0786461759630779,1.0318932479658396,2.8815218834436562,2.6523152136111308,-0.04675292799723829,-0.22920666983252547
632,1,44,45,232.549,4,4,1.0788869423342637,0.9940952897732077,2.8861534788176932,2.5111791415034412,-0.08479165256105603,-0.374974337314252
637,1,45,46,233.803,4,4,0.9944403797529707,1.0508701654021768,2.5308487078727655,2.7357012899383015,0.05642978564920609,0.20485258206553603
668,1,46,47,243.227,4,4,1.0523654416854629,1.0581098842547139,2.7659810274284755,2.7890180062460233,0.005744442569250996,0.023036978817547737
678,1,47,48,247.34,4,4,1.004569541093767,1.0006653995538872,2.5214372743255273,2.495675013198387,-0.003904141539879724,-0.025762261127140196
710,1,48,49,259.448,4,4,1.077432344521199,1.0195758748997785,2.879717154409156,2.574016191458773,-0.05785646962142055,-0.30570096295038285
730,1,49,50,266.399,4,4,1.0759276696654465,0.9953773839006448,2.8721692591570305,2.5466818372818496,-0.08055028576480172,-0.32548742187518087
743,1,50,51,271.279,4,4,1.0270901130676333,1.0898114462620516,2.6055686037669568,2.949038657355723,0.0627213331944183,0.34347005358876626
760,1,51,52,280.615,4,4,1.0864543070780592,1.0556189438555967,2.931222654729777,2.7799594579561653,-0.030835363222462497,-0.15126319677361177
770,1,52,53,284.813,4,4,1.048550540668852,1.0887913412231367,2.746210999550908,2.941338651002509,0.040240800554284695,0.19512765145160094
801,1,53,54,294.408,4,4,0.9817645002228779,1.0624275112763661,2.4412915745129804,2.798173541898971,0.08066301105348828,0.35688196738599043
832,1,54,55,305.48,4,4,0.9599094756968569,0.9865860772174011,2.3221656038542466,2.453573800506936,0.026676601520544185,0.1314081966526892
838,1,55,56,307.967,4,4,1.038183611901662,1.069122754403487,2.6745890089804867,2.841576327371843,0.030939142501824834,0.16698731839135617
842,1,56,57,310.095,4,4,1.069122754403487,1.0714096564748257,2.841576327371843,2.8439334368649094,0.002286902071338748,0.002357109493066556
864,1,57,58,316.011,4,4,0.9795406748526967,1.0442495987119016,2.4153723590276326,2.705563217821813,0.0647089238592049,0.2901908587941806
871,1,58,59,318.649,4,4,1.0840869261855532,1.0546215078367738,2.917635311971478,2.7578953009617315,-0.02946541834877947,-0.15974001100974666
893,1,59,60,326.939,4,4,1.0381375662107335,1.07183853606613,2.6636407101754918,2.848083804482054,0.0337009698553965,0.18444309430656203
905,1,60,61,332.126,4,4,1.0175544723472947,1.0859152311908133,2.5880121183430984,2.926380286714726,0.06836075884351867,0.33836816837162775
912,1,61,62,334.675,4,4,1.0282857424680887,1.0897362337846137,2.6479441804862014,2.94810743619205,0.061450491316525024,0.30016325570584845
916,1,62,63,336.104,4,4,1.0897362337846137,1.069122754403487,2.94810743619205,2.841576327371843,-0.020613479381126787,-0.106531108820207
920,1,63,64,337.927,4,3,1.069122754403487,0.6600506089722372,2.841576327371843,1.877124200415865,-0.4090721454312497,-0.9644521269559778
923,1,64,65,339.584,3,4,0.6600506089722372,1.0585286510711558,1.877124200415865,2.7772517201424787,0.3984780420989186,0.9001275197266136
935,1,65,66,344.436,4,3,1.056451366105458,0.6732022555247168,2.7559855947045615,1.9237725586933374,-0.3832491105807412,-0.8322130360112241
938,1,66,67,346.069,3,3,0.6732022555247168,0.688712427649687,1.9237725586933374,1.9824427206716868,0.01551017212497019,0.0586701619783494
941,1,67,68,347.627,3,4,0.688712427649687,1.0653328650323337,1.9824427206716868,2.806604825113928,0.3766204373826467,0.8241621044422411
951,1,68,69,352.275,4,4,1.0510142644284672,1.0452338754180022,2.7483963032224463,2.704954248346728,-0.00578038901046507,-0.043442054875718394
956,1,69,70,353.395,4,4,0.995488040496165,0.977223901004428,2.4814183115555375,2.391499147789687,-0.018264139491736997,-0.0899191637658503
960,1,70,71,354.679,4,3,0.977223901004428,0.6724230264866673,2.391499147789687,1.9209321653670037,-0.3048008745177607,-0.47056698242268347
963,1,71,72,356.911,3,4,0.6724230264866673,1.0270523432979946,1.9209321653670037,2.6288886755928194,0.35462931681132726,0.7079565102258156
970,1,72,73,359.37,4,4,1.043364579860746,1.070089743141251,2.6933171646328264,2.841374366880187,0.026725163280505004,0.14805720224736074
978,1,73,74,362.562,4,4,1.0769681448302326,1.0039943331915844,2.8708934896506624,2.514012012206514,-0.07297381163864824,-0.3568814774441482
983,1,74,75,364.537,4,4,1.059645366264658,1.061129043824767,2.780338233507435,2.792330615239075,0.0014836775601088092,0.011992381731639856
993,1,75,76,368.008,4,4,1.0533628224717448,1.0728845046528939,2.767268036330443,2.8549979103915613,0.019521682181149025,0.0877298740611181
1014,1,76,77,376.513,4,4,1.0385878022804955,1.0719527017347987,2.6769690628601572,2.850564415249613,0.03336489945430321,0.17359535238945556
1018,1,77,78,377.473,4,4,1.0719527017347987,1.0819001092350322,2.850564415249613,2.900853632623049,0.009947407500233485,0.05028921737343639
1024,1,78,79,379.761,4,4,1.0623138833926022,1.074099533057258,2.79991517151061,2.8590806862139058,0.011785649664655784,0.059165514703295674
1039,1,79,80,384.688,4,4,1.035468781762142,1.0563230894756561,2.6527094084704324,2.7790979920113816,0.020854307713514153,0.12638858354094928
1046,1,80,81,387.091,4,4,1.0642576876204384,1.0234667951922494,2.8138047274977267,2.593232126482411,-0.04079089242818901,-0.2205726010153155
1066,1,83,84,394.645,4,4,1.0453197686440254,1.0457357573793193,2.7264226368331226,2.711504950504562,0.0004159887352939151,-0.01491768632856072
1071,1,84,85,396.154,4,4,1.069991875805296,1.0633556569127471,2.834720020659618,2.8148457209056956,-0.00663621889254884,-0.019874299753922298
1078,1,85,86,399.111,4,4,1.050039154535809,1.0191980003277556,2.7264534320522222,2.5654469700678577,-0.030841154208053334,-0.16100646198436452
1085,1,86,87,401.629,4,3,1.0616561516492895,0.6870654670965752,2.7959250890537346,1.9760136666730097,-0.37459068455271427,-0.8199114223807249
1093,1,89,90,406.348,4,4,1.0637022595064227,1.0742758520683235,2.798354314033743,2.85739341910011,0.010573592561900824,0.059039105066367004
1102,1,90,91,410.046,4,4,1.0621744415482817,0.9837502983742015,2.805592547077137,2.4196098440787446,-0.0784241431740802,-0.3859827029983922
1115,1,91,92,413.454,4,4,1.0828535643909594,1.0733764970193158,2.9087822924513915,2.8607769575099375,-0.009477067371643555,-0.04800533494145398
1129,1,92,93,419.004,4,4,1.0478604001137901,1.0446764295151516,2.710474931449381,2.6981710050420777,-0.003183970598638508,-0.012303926407303045
1144,1,93,94,424.491,4,4,1.053252512159441,1.0487765821358983,2.753211021695178,2.7419661630813774,-0.004475930023542629,-0.011244858613800535
1154,1,94,95,427.384,4,4,1.0546595060976651,1.0089080877362466,2.776214455296778,2.5833032634134363,-0.045751418361418494,-0.19291119188334171
1160,1,95,96,428.889,4,4,1.084385750045228,1.0633830493899612,2.9177901098902668,2.81128974840746,-0.02100270065526688,-0.10650036148280684
1170,1,96,97,431.881,4,4,1.0807857245373826,1.0696062809069384,2.8982372877644287,2.8433997718015878,-0.011179443630444208,-0.05483751596284092
1178,1,97,98,435.297,4,4,1.065223844365579,1.0602106560327187,2.822082194192544,2.7970844649777353,-0.005013188332860352,-0.024997729214808473
1183,1,98,99,436.261,4,2,1.0190630734718773,-0.0,2.588897214825482,1.0,-1.0190630734718773,-1.588897214825482
1185,1,99,100,437.156,2,4,-0.0,1.0558266534159246,1.0,2.752905161956621,1.0558266534159246,1.7529051619566212
1189,1,100,101,438.057,4,4,1.0558266534159246,1.0673037935083765,2.752905161956621,2.8156231112671226,0.01147714009245182,0.06271794931050145
1193,1,101,102,439.608,4,4,1.0673037935083765,1.069017723997837,2.8156231112671226,2.8365037922163103,0.0017139304894604468,0.020880680949187713
1205,1,102,103,442.82,4,4,1.0728262829434536,1.0232371774900164,2.8489708449296205,2.6034972399801988,-0.0495891054534372,-0.24547360494942172
1214,1,103,104,446.821,4,4,1.079046446297108,1.0876207983705537,2.892805488147595,2.936051794545936,0.00857435207344559,0.04324630639834126
1218,1,104,105,448.999,4,4,1.0876207983705537,1.034769333213905,2.936051794545936,2.648797529486662,-0.052851465156648736,-0.287254265059274
1222,1,105,106,451.302,4,4,1.034769333213905,1.044777911540666,2.648797529486662,2.7158797087303945,0.010008578326760942,0.06708217924373239
1238,1,106,107,457.403,4,4,1.0674263844132694,1.0106839704985855,2.822752248767748,2.547988371513107,-0.05674241391468393,-0.274763877254641
1246,1,107,108,460.691,4,4,1.0830332850188407,1.0537243883546692,2.906264990826653,2.748176748418588,-0.02930889666417147,-0.15808824240806496
1256,1,108,109,464.503,4,4,1.0547752025031234,1.0650723929355026,2.7528062574412706,2.812153316020578,0.0102971904323792,0.05934705857930744
1261,1,109,110,467.045,4,4,1.0591269103693874,0.9898258451691881,2.7932541342725314,2.4793099612761273,-0.0693010652001993,-0.3139441729964041
1282,1,110,111,474.124,4,4,0.999846690834317,0.9470877651398898,2.504752390883884,2.342157611006963,-0.052758925694427194,-0.16259477987692073
1287,1,111,112,475.753,4,4,0.953566689027522,1.0575189295253615,2.380711181780199,2.76711367507722,0.10395224049783958,0.3864024932970209
1297,1,112,113,479.415,4,4,1.0247553824552638,0.998506869893731,2.594722535468412,2.4726660007389865,-0.02624851256153271,-0.12205653472942535
1322,1,113,114,487.469,4,4,0.9976236280064914,1.0892810730368265,2.499597357111684,2.9444103454917023,0.09165744503033513,0.4448129883800185
1339,1,114,115,493.341,4,4,1.0266101098493858,1.0034607097990886,2.608440126037513,2.529172813506821,-0.023149400050297197,-0.07926731253069219
1362,1,115,116,502.34,4,4,0.986206018964144,0.9946490331468887,2.503001093848147,2.523679512163955,0.008443014182744735,0.020678418315807967
1369,1,116,117,504.628,4,4,1.0537471028072818,1.0620579054871295,2.7604684332152347,2.788059814580617,0.00831080267984774,0.027591381365382084
1377,1,117,118,507.396,4,4,1.0727905842112277,1.043256493200307,2.8484182964301876,2.719299591821672,-0.02953409101092075,-0.1291187046085156
1385,1,118,119,510.432,4,4,1.0918959373042232,1.0181247781370548,2.959479718635292,2.5703927582850934,-0.07377115916716837,-0.38908696035019874
1411,1,119,120,519.061,4,4,0.9875464451087993,1.0758584586807796,2.4843840544057643,2.8735419985378066,0.08831201357198026,0.3891579441320423
1436,1,120,121,525.549,4,4,1.056074109537352,1.0416414540823564,2.7809621397892053,2.684012368485603,-0.014432655454995613,-0.09694977130360227
1444,1,121,122,527.988,4,3,1.0614140293133154,0.66565643308746,2.802346164892689,1.896677021151705,-0.3957575962258554,-0.9056691437409838
1447,1,122,123,529.316,3,4,0.66565643308746,1.0903045092574697,1.896677021151705,2.949744166014057,0.42464807617000966,1.053067144862352
1451,1,123,124,531.329,4,4,1.0903045092574697,1.009433178111201,2.949744166014057,2.546673688919623,-0.08087133114626877,-0.4030704770944342
1466,1,124,125,535.106,4,4,1.0419489192131728,1.0324435804489007,2.6797707144433422,2.6322695708168107,-0.009505338764272064,-0.04750114362653157
1474,1,125,126,538.239,4,4,1.0569629456264829,0.9989623484528447,2.778081014756731,2.527637581939143,-0.058000597173638146,-0.2504434328175882
1481,1,126,127,540.467,4,3,1.063890576322452,0.6489702716222123,2.8048371689365723,1.839850440155774,-0.41492030470023966,-0.9649867287807983
1484,1,127,128,542.979,3,4,0.6489702716222123,1.0703238158613924,1.839850440155774,2.8369737780213837,0.42135354423918003,0.9971233378656097
1494,1,128,129,546.955,4,4,1.0177222407153028,1.0768354720128737,2.6182701065314458,2.8748391681360745,0.059113231297570845,0.2565690616046288
1501,1,129,130,549.908,4,4,1.0559823873924463,1.0367280401566714,2.77914282633502,2.6655987110946042,-0.019254347235774905,-0.11354411524041597
1535,2,131,132,7.671,4,4,1.0468138811917176,1.0569898153283879,2.7056139858855626,2.7845543264841104,0.010175934136670284,0.07894034059854782
